row,column,cor_coeff,p_value
Iron (mg/L),Chlorophyll (RFU),-0.17,0.03
pH,Chlorophyll (RFU),0.19,0.01
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.26,0
"Nitrate, Mid-Range (mg/L)",Total Algae (RFU),-0.14,0.05
"Nitrate, High-Range (mg/L)",Total Algae (RFU),-0.22,0
Silica (mg/L),Total Algae (RFU),0.22,0.01
Iron (mg/L),Total Algae (RFU),-0.17,0.03
Chlorophyll (RFU),Total Algae (RFU),0.35,0
Iron (mg/L),Total Dissolved Solids (mg/L),-0.19,0.01
Temperature (ºF),Total Dissolved Solids (mg/L),-0.15,0.05
pH,Total Dissolved Solids (mg/L),0.24,0
pH (mV),Total Dissolved Solids (mg/L),-0.39,0
Salinity (PSU),Total Dissolved Solids (mg/L),1,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.99,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),1,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),1,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.42,0
"Dissolved Oxygen, Saturated (%)",Total Dissolved Solids (mg/L),-0.18,0.01
