row,column,cor_coeff,p_value
Turbidity (RFU),pH (mV),0.04,0.6
Phosphate (mg/L),pH (mV),-0.09,0.23
"Nitrate, Mid-Range (mg/L)",pH (mV),-0.38,0
"Nitrate, High-Range (mg/L)",pH (mV),-0.29,0
Alkalinity (mg/L CaCO3),pH (mV),-0.2,0.01
Silica (mg/L),pH (mV),0.14,0.08
Iron (mg/L),pH (mV),0.05,0.55
Ammonia (mg/L),pH (mV),0.08,0.8
Temperature (ºF),pH (mV),0.18,0.02
Temperature (ºC),pH (mV),0.12,0.11
pH,pH (mV),-0.38,0
Turbidity (RFU),Salinity (PSU),0.05,0.34
Phosphate (mg/L),Salinity (PSU),-0.13,0.02
"Nitrate, Mid-Range (mg/L)",Salinity (PSU),-0.14,0.01
"Nitrate, High-Range (mg/L)",Salinity (PSU),-0.23,0
Alkalinity (mg/L CaCO3),Salinity (PSU),0.1,0.09
Silica (mg/L),Salinity (PSU),-0.09,0.14
Iron (mg/L),Salinity (PSU),-0.29,0
Ammonia (mg/L),Salinity (PSU),-0.4,0.18
Temperature (ºF),Salinity (PSU),0.2,0
Temperature (ºC),Salinity (PSU),0.13,0.01
pH,Salinity (PSU),0.19,0
pH (mV),Salinity (PSU),-0.39,0
Turbidity (RFU),Conductivity (µS/cm),-0.01,0.9
Phosphate (mg/L),Conductivity (µS/cm),0,0.97
"Nitrate, Mid-Range (mg/L)",Conductivity (µS/cm),0.08,0.15
"Nitrate, High-Range (mg/L)",Conductivity (µS/cm),-0.14,0.02
Alkalinity (mg/L CaCO3),Conductivity (µS/cm),0.08,0.18
Silica (mg/L),Conductivity (µS/cm),0.08,0.18
Iron (mg/L),Conductivity (µS/cm),-0.16,0.01
Ammonia (mg/L),Conductivity (µS/cm),-0.51,0.08
Temperature (ºF),Conductivity (µS/cm),0.64,0
Temperature (ºC),Conductivity (µS/cm),0.6,0
pH,Conductivity (µS/cm),0.02,0.74
pH (mV),Conductivity (µS/cm),-0.38,0
Salinity (PSU),Conductivity (µS/cm),0.87,0
Turbidity (RFU),"Conductivity, Non-Linear Function (µS/cm)",0.05,0.5
Phosphate (mg/L),"Conductivity, Non-Linear Function (µS/cm)",0.07,0.38
"Nitrate, Mid-Range (mg/L)","Conductivity, Non-Linear Function (µS/cm)",-0,0.97
"Nitrate, High-Range (mg/L)","Conductivity, Non-Linear Function (µS/cm)",-0.07,0.39
Alkalinity (mg/L CaCO3),"Conductivity, Non-Linear Function (µS/cm)",0.11,0.14
Silica (mg/L),"Conductivity, Non-Linear Function (µS/cm)",0.16,0.04
Iron (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.19,0.01
Ammonia (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.31,0.3
Temperature (ºF),"Conductivity, Non-Linear Function (µS/cm)",-0.16,0.03
Temperature (ºC),"Conductivity, Non-Linear Function (µS/cm)",-0.04,0.58
pH,"Conductivity, Non-Linear Function (µS/cm)",0.24,0
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.4,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",1,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.99,0
Turbidity (RFU),"Conductivity, Specific (µS/cm)",0.05,0.51
Phosphate (mg/L),"Conductivity, Specific (µS/cm)",0.07,0.38
"Nitrate, Mid-Range (mg/L)","Conductivity, Specific (µS/cm)",0,0.98
"Nitrate, High-Range (mg/L)","Conductivity, Specific (µS/cm)",-0.06,0.42
Alkalinity (mg/L CaCO3),"Conductivity, Specific (µS/cm)",0.12,0.13
Silica (mg/L),"Conductivity, Specific (µS/cm)",0.15,0.05
Iron (mg/L),"Conductivity, Specific (µS/cm)",-0.19,0.02
Ammonia (mg/L),"Conductivity, Specific (µS/cm)",-0.37,0.22
Temperature (ºF),"Conductivity, Specific (µS/cm)",-0.16,0.03
Temperature (ºC),"Conductivity, Specific (µS/cm)",-0.04,0.58
pH,"Conductivity, Specific (µS/cm)",0.23,0
pH (mV),"Conductivity, Specific (µS/cm)",-0.4,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.99,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.99,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",1,0
Turbidity (RFU),Dissolved Oxygen (mg/L),-0.06,0.45
Phosphate (mg/L),Dissolved Oxygen (mg/L),-0.02,0.84
"Nitrate, Mid-Range (mg/L)",Dissolved Oxygen (mg/L),-0.1,0.21
"Nitrate, High-Range (mg/L)",Dissolved Oxygen (mg/L),-0.02,0.76
Alkalinity (mg/L CaCO3),Dissolved Oxygen (mg/L),0.09,0.23
Silica (mg/L),Dissolved Oxygen (mg/L),-0.05,0.52
Iron (mg/L),Dissolved Oxygen (mg/L),-0.11,0.16
Ammonia (mg/L),Dissolved Oxygen (mg/L),0.26,0.39
Temperature (ºF),Dissolved Oxygen (mg/L),-0.01,0.88
Temperature (ºC),Dissolved Oxygen (mg/L),-0.03,0.68
pH,Dissolved Oxygen (mg/L),0.13,0.07
pH (mV),Dissolved Oxygen (mg/L),0.11,0.15
Salinity (PSU),Dissolved Oxygen (mg/L),-0.41,0
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0.4,0
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.41,0
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.41,0
Turbidity (RFU),"Dissolved Oxygen, Saturated (%)",0.02,0.67
Phosphate (mg/L),"Dissolved Oxygen, Saturated (%)",-0.19,0
"Nitrate, Mid-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.42,0
"Nitrate, High-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.2,0
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Saturated (%)",0.16,0.01
Silica (mg/L),"Dissolved Oxygen, Saturated (%)",0,0.98
Iron (mg/L),"Dissolved Oxygen, Saturated (%)",-0.14,0.02
Ammonia (mg/L),"Dissolved Oxygen, Saturated (%)",0.23,0.44
Temperature (ºF),"Dissolved Oxygen, Saturated (%)",-0.3,0
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.37,0
pH,"Dissolved Oxygen, Saturated (%)",0.43,0
pH (mV),"Dissolved Oxygen, Saturated (%)",-0.01,0.85
Salinity (PSU),"Dissolved Oxygen, Saturated (%)",-0.07,0.19
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.23,0
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.17,0.02
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.17,0.02
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.95,0
Turbidity (RFU),"Dissolved Oxygen, Local (%)",0.01,0.89
Phosphate (mg/L),"Dissolved Oxygen, Local (%)",0.17,0.02
"Nitrate, Mid-Range (mg/L)","Dissolved Oxygen, Local (%)",0.09,0.24
"Nitrate, High-Range (mg/L)","Dissolved Oxygen, Local (%)",0.04,0.62
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Local (%)",0.21,0.01
Silica (mg/L),"Dissolved Oxygen, Local (%)",0.08,0.28
Iron (mg/L),"Dissolved Oxygen, Local (%)",-0.2,0.01
Ammonia (mg/L),"Dissolved Oxygen, Local (%)",0.25,0.42
Temperature (ºF),"Dissolved Oxygen, Local (%)",-0.11,0.12
Temperature (ºC),"Dissolved Oxygen, Local (%)",-0.12,0.12
pH,"Dissolved Oxygen, Local (%)",0.22,0
pH (mV),"Dissolved Oxygen, Local (%)",-0.3,0
Salinity (PSU),"Dissolved Oxygen, Local (%)",0.04,0.56
Conductivity (µS/cm),"Dissolved Oxygen, Local (%)",0.03,0.7
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Local (%)",0.05,0.53
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Local (%)",0.04,0.55
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.36,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.51,0
Turbidity (RFU),Oxygen Reduction Potential (mV),0.03,0.65
Phosphate (mg/L),Oxygen Reduction Potential (mV),-0.31,0
"Nitrate, Mid-Range (mg/L)",Oxygen Reduction Potential (mV),-0.37,0
"Nitrate, High-Range (mg/L)",Oxygen Reduction Potential (mV),-0.19,0
Alkalinity (mg/L CaCO3),Oxygen Reduction Potential (mV),0.04,0.53
Silica (mg/L),Oxygen Reduction Potential (mV),-0.49,0
Iron (mg/L),Oxygen Reduction Potential (mV),-0.34,0
Ammonia (mg/L),Oxygen Reduction Potential (mV),0.03,0.92
Temperature (ºF),Oxygen Reduction Potential (mV),-0.59,0
Temperature (ºC),Oxygen Reduction Potential (mV),-0.44,0
pH,Oxygen Reduction Potential (mV),0.68,0
pH (mV),Oxygen Reduction Potential (mV),0.08,0.26
Salinity (PSU),Oxygen Reduction Potential (mV),0.23,0
Conductivity (µS/cm),Oxygen Reduction Potential (mV),-0.03,0.62
"Conductivity, Non-Linear Function (µS/cm)",Oxygen Reduction Potential (mV),0.01,0.87
"Conductivity, Specific (µS/cm)",Oxygen Reduction Potential (mV),0.01,0.86
Dissolved Oxygen (mg/L),Oxygen Reduction Potential (mV),-0.03,0.71
"Dissolved Oxygen, Saturated (%)",Oxygen Reduction Potential (mV),0.21,0
"Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),-0.01,0.89
Turbidity (RFU),Chlorophyll (RFU),0.05,0.49
Phosphate (mg/L),Chlorophyll (RFU),0.09,0.25
"Nitrate, Mid-Range (mg/L)",Chlorophyll (RFU),0.14,0.07
"Nitrate, High-Range (mg/L)",Chlorophyll (RFU),0.07,0.36
Alkalinity (mg/L CaCO3),Chlorophyll (RFU),0.01,0.95
Silica (mg/L),Chlorophyll (RFU),-0.01,0.9
Iron (mg/L),Chlorophyll (RFU),-0.17,0.03
Ammonia (mg/L),Chlorophyll (RFU),-0.02,0.94
Temperature (ºF),Chlorophyll (RFU),0.12,0.1
Temperature (ºC),Chlorophyll (RFU),0.12,0.13
pH,Chlorophyll (RFU),0.19,0.01
pH (mV),Chlorophyll (RFU),0.12,0.12
Salinity (PSU),Chlorophyll (RFU),0.01,0.85
Conductivity (µS/cm),Chlorophyll (RFU),0.02,0.8
"Conductivity, Non-Linear Function (µS/cm)",Chlorophyll (RFU),0.03,0.74
"Conductivity, Specific (µS/cm)",Chlorophyll (RFU),0.02,0.75
Dissolved Oxygen (mg/L),Chlorophyll (RFU),0.07,0.38
"Dissolved Oxygen, Saturated (%)",Chlorophyll (RFU),0.12,0.12
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.26,0
Oxygen Reduction Potential (mV),Chlorophyll (RFU),0.09,0.23
Turbidity (RFU),Total Algae (RFU),0.01,0.93
Phosphate (mg/L),Total Algae (RFU),0.04,0.53
"Nitrate, Mid-Range (mg/L)",Total Algae (RFU),-0.14,0.05
"Nitrate, High-Range (mg/L)",Total Algae (RFU),-0.22,0
Alkalinity (mg/L CaCO3),Total Algae (RFU),0.03,0.72
Silica (mg/L),Total Algae (RFU),0.22,0.01
Iron (mg/L),Total Algae (RFU),-0.17,0.03
Ammonia (mg/L),Total Algae (RFU),-0.38,0.25
Temperature (ºF),Total Algae (RFU),-0.03,0.71
Temperature (ºC),Total Algae (RFU),-0.03,0.7
pH,Total Algae (RFU),0.03,0.65
pH (mV),Total Algae (RFU),0.13,0.08
Salinity (PSU),Total Algae (RFU),0.02,0.76
Conductivity (µS/cm),Total Algae (RFU),0,0.99
"Conductivity, Non-Linear Function (µS/cm)",Total Algae (RFU),0.05,0.5
"Conductivity, Specific (µS/cm)",Total Algae (RFU),0.05,0.49
Dissolved Oxygen (mg/L),Total Algae (RFU),0.01,0.9
"Dissolved Oxygen, Saturated (%)",Total Algae (RFU),0.01,0.85
"Dissolved Oxygen, Local (%)",Total Algae (RFU),0.04,0.64
Oxygen Reduction Potential (mV),Total Algae (RFU),0.08,0.26
Chlorophyll (RFU),Total Algae (RFU),0.35,0
Turbidity (RFU),Total Dissolved Solids (mg/L),0.04,0.56
Phosphate (mg/L),Total Dissolved Solids (mg/L),0.06,0.4
"Nitrate, Mid-Range (mg/L)",Total Dissolved Solids (mg/L),0.01,0.89
"Nitrate, High-Range (mg/L)",Total Dissolved Solids (mg/L),-0.06,0.45
Alkalinity (mg/L CaCO3),Total Dissolved Solids (mg/L),0.11,0.15
Silica (mg/L),Total Dissolved Solids (mg/L),0.15,0.07
Iron (mg/L),Total Dissolved Solids (mg/L),-0.19,0.01
Ammonia (mg/L),Total Dissolved Solids (mg/L),-0.39,0.19
Temperature (ºF),Total Dissolved Solids (mg/L),-0.15,0.05
Temperature (ºC),Total Dissolved Solids (mg/L),-0.02,0.75
pH,Total Dissolved Solids (mg/L),0.24,0
pH (mV),Total Dissolved Solids (mg/L),-0.39,0
Salinity (PSU),Total Dissolved Solids (mg/L),1,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.99,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),1,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),1,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.42,0
"Dissolved Oxygen, Saturated (%)",Total Dissolved Solids (mg/L),-0.18,0.01
"Dissolved Oxygen, Local (%)",Total Dissolved Solids (mg/L),0.02,0.81
Oxygen Reduction Potential (mV),Total Dissolved Solids (mg/L),0.01,0.87
Chlorophyll (RFU),Total Dissolved Solids (mg/L),0.03,0.69
Total Algae (RFU),Total Dissolved Solids (mg/L),0.05,0.55
