datetime,Ocean_Temp_C (Celsius),Ocean_pH,Ocean_Salinity (ppt),Ocean_Conductivity (mS/cm),Ocean_ORP (millivolts),Ocean_BGA_PE (Cells/Liter),Ocean_Chlorophyll (micrograms/Liter),Ocean_DO_sat (%)
2018/10/12 17:30:00,22.164999,8.259999,31.594999,45.518749,752,358,30.525,95
2018/10/12 17:45:00,22.144999,8.259999,31.589998,45.631248,752,308.399994,40.75,95
2018/10/12 18:00:00,22.125,8.259999,31.589998,45.625,756,272,45.149998,94.5
2018/10/12 18:15:00,22.125,8.259999,31.589998,45.637497,756,238.599991,45.799999,94.5
2018/10/12 18:30:00,22.144999,8.259999,31.584999,45.712498,756,333.199982,44.949997,94
2018/10/12 18:45:00,22.144999,8.259999,31.584999,45.71875,756,298,49.149998,94
2018/10/12 19:00:00,22.144999,8.259999,31.58,45.662498,756,296,34.5,94
2018/10/12 19:15:00,22.125,8.259999,31.58,45.518749,760,311.599976,34.699997,93.5
2018/10/12 19:30:00,22.125,8.259999,31.58,45.643749,762,433.599976,56.099998,93.5
2018/10/12 19:45:00,22.125,8.259999,31.574999,45.674999,758,267.199982,35.75,93.5
2018/10/12 20:00:00,22.125,8.259999,31.574999,45.706249,756,253.199997,50.399998,93
2018/10/12 20:15:00,22.125,8.259999,31.574999,0,760,327.199982,41.399998,93
2018/10/12 20:30:00,22.125,8.259999,31.57,45.712498,756,255.599991,28.224998,92.5
2018/10/12 20:45:00,22.125,8.259999,31.57,45.743748,756,294.399994,44.799999,92.5
2018/10/12 21:00:00,22.125,8.259999,31.564999,45.599998,760,328.399994,70.099998,92.5
2018/10/12 21:15:00,22.125,8.259999,31.564999,45.668747,760,224.599991,62.949997,92
2018/10/12 21:30:00,22.125,8.259999,31.559999,45.737499,758,340.399994,50.899998,92
2018/10/12 21:45:00,22.125,8.259999,31.559999,45.568748,760,458.399994,63.25,92
2018/10/12 22:00:00,22.125,8.259999,31.559999,45.743748,758,356.799988,54.149998,91.5
2018/10/12 22:15:00,22.105,8.197499,31.554998,45.543747,762,323.199982,48.899998,91.5
2018/10/12 22:30:00,22.105,8.197499,31.554998,45.574997,760,354.399994,71.5,91.5
2018/10/12 22:45:00,22.105,8.197499,31.549999,45.574997,766,292,91.599998,91.5
2018/10/12 23:00:00,22.105,8.197499,31.549999,45.568748,764,250.599991,82.399994,91
2018/10/12 23:15:00,22,8.259999,31.549999,45.581249,760,359.199982,84.399994,91
2018/10/12 23:30:00,22,8.259999,31.544998,45.518749,760,358.399994,58.25,91
2018/10/12 23:45:00,22,8.259999,31.544998,45.612499,760,390,69.099998,91
2018/10/13 00:00:00,22,8.259999,31.539999,45.543747,760,282,76.099998,91
2018/10/13 00:15:00,22.105,8.197499,31.539999,45.543747,764,375.199982,39.949997,90.5
2018/10/13 00:30:00,22.084999,8.197499,31.539999,45.65625,766,387.199982,29.724998,90.5
2018/10/13 00:45:00,22.105,8.197499,31.535,45.556248,766,388,66.199997,90.5
2018/10/13 01:00:00,22.105,8.197499,31.535,45.5625,764,334,16.049999,90.5
2018/10/13 01:15:00,22.105,8.197499,31.529999,45.724998,760,369.599976,47.699997,90
2018/10/13 01:30:00,22.105,8.197499,31.529999,45.662498,762,341.599976,93.899994,90
2018/10/13 01:45:00,22.105,8.197499,31.525,45.637497,762,344,88.5,90.5
2018/10/13 02:00:00,22.105,8.197499,31.525,45.506248,762,261.599976,71.299995,90
2018/10/13 02:15:00,22.105,8.197499,31.525,45.537498,760,234.599991,40.849998,90
2018/10/13 02:30:00,22.084999,8.197499,31.519999,45.637497,766,327.599976,92.099998,90
2018/10/13 02:45:00,22.084999,8.197499,31.519999,45.706249,760,366.399994,22.924999,90
2018/10/13 03:00:00,22.084999,8.197499,31.514999,45.625,762,315.599976,44,90
2018/10/13 03:15:00,22.084999,8.197499,31.514999,45.693748,760,268.799988,39,90
2018/10/13 03:30:00,22.084999,8.197499,31.514999,45.518749,764,337.199982,42.899998,89.5
2018/10/13 03:45:00,22.084999,8.197499,31.514999,45.681248,760,376.399994,64.699997,89.5
2018/10/13 04:00:00,22.064999,8.197499,31.509998,45.737499,760,296,22.574999,89.5
2018/10/13 04:15:00,22.064999,8.197499,31.509998,45.71875,760,263.199982,33.849998,89.5
2018/10/13 04:30:00,22.084999,8.197499,31.504999,45.5,766,332.399994,22.974998,89.5
2018/10/13 04:45:00,22.084999,8.197499,31.504999,45.59375,766,326,46.599998,89.5
2018/10/13 05:00:00,22.064999,8.197499,31.504999,45.662498,764,341.199982,23.125,89.5
2018/10/13 05:15:00,22.084999,8.197499,31.5,45.53125,766,344.799988,29.75,89.5
2018/10/13 05:30:00,22.064999,8.197499,31.5,45.612499,764,480,46.699997,89
2018/10/13 05:45:00,21.939999,8.197499,31.619999,45.375,766,380,29.599998,89
2018/10/13 06:00:00,21.959999,8.197499,31.619999,45.362499,766,265.599976,35.199997,89
2018/10/13 06:15:00,21.959999,8.197499,31.619999,45.299999,766,450.799988,39.5,89.5
2018/10/13 06:30:00,21.959999,8.197499,31.615,45.46875,760,354.399994,36.399998,89
2018/10/13 06:45:00,21.959999,8.197499,31.615,45.28125,764,429.199982,49.449997,89
2018/10/13 07:00:00,21.939999,8.197499,31.609999,45.4375,764,392.799988,28.824999,89
2018/10/13 07:15:00,21.959999,8.197499,31.609999,45.449997,762,328.799988,44.699997,89
2018/10/13 07:30:00,21.959999,8.197499,31.605,45.268749,762,407.599976,38.049999,89
2018/10/13 07:45:00,21.959999,8.197499,31.605,45.337498,762,340.799988,63.649998,89
2018/10/13 08:00:00,21.959999,8.197499,31.605,45.4375,760,236.199997,46.899998,89
2018/10/13 08:15:00,21.959999,8.197499,31.599998,45.424999,760,456,33.699997,89
2018/10/13 08:30:00,21.959999,8.197499,31.599998,45.456249,762,386.799988,40,89.5
2018/10/13 08:45:00,21.959999,8.197499,31.599998,45.381248,760,363.199982,18.625,89.5
2018/10/13 09:00:00,21.959999,8.197499,31.599998,45.375,762,412.399994,23.375,89.5
2018/10/13 09:15:00,21.959999,8.197499,31.594999,45.381248,762,338.799988,18.75,89.5
2018/10/13 09:30:00,21.939999,8.197499,31.594999,45.306248,766,286,36.5,89.5
2018/10/13 09:45:00,21.939999,8.197499,31.594999,45.412498,760,317.199982,22.65,89.5
2018/10/13 10:00:00,21.959999,8.197499,31.594999,45.3125,762,350.399994,17.974998,89.5
2018/10/13 10:15:00,21.939999,8.197499,31.594999,45.274998,764,270,20.099998,89.5
2018/10/13 10:30:00,21.959999,8.197499,31.594999,45.393749,760,230.399994,44.5,90
2018/10/13 10:45:00,21.939999,8.197499,31.594999,45.399998,766,330.399994,38.299999,90
2018/10/13 11:00:00,21.959999,8.197499,31.594999,45.393749,762,501.599976,42.099998,90
2018/10/13 11:15:00,21.959999,8.197499,31.589998,45.375,762,340.399994,36.25,90.5
2018/10/13 11:30:00,21.959999,8.197499,31.594999,45.443748,760,338.799988,45.599998,90.5
2018/10/13 11:45:00,21.939999,8.192499,31.594999,45.287498,766,353.599976,33.699997,90.5
2018/10/13 12:00:00,21.959999,8.197499,31.594999,45.362499,760,267.599976,34.049999,91
2018/10/13 12:15:00,21.959999,8.197499,31.594999,45.349998,762,338.399994,57.399998,91
2018/10/13 12:30:00,21.939999,8.192499,31.594999,45.375,762,308.399994,49.949997,91
2018/10/13 12:45:00,21.959999,8.197499,31.594999,45.287498,760,332,25.599998,91.5
2018/10/13 13:00:00,21.939999,8.192499,31.594999,45.449997,760,215.599991,61.25,92
2018/10/13 13:15:00,21.959999,8.192499,31.594999,45.356247,762,308,35.099998,92
2018/10/13 13:30:00,21.959999,8.192499,31.599998,45.337498,760,308,59.049999,92
2018/10/13 13:45:00,21.959999,8.192499,31.599998,45.331249,762,458,56,92.5
2018/10/13 14:00:00,21.959999,8.192499,31.599998,45.399998,762,327.199982,48.949997,92
2018/10/13 14:15:00,21.959999,8.192499,31.599998,45.393749,760,256.399994,33.949997,92
2018/10/13 14:30:00,21.939999,8.192499,31.599998,45.387497,766,263.599976,65.599998,92.5
2018/10/13 14:45:00,21.959999,8.192499,31.599998,45.424999,762,318,65.599998,92.5
2018/10/13 15:00:00,21.959999,8.192499,31.599998,45.418747,760,234,29.025,92.5
2018/10/13 15:15:00,21.959999,8.192499,31.599998,45.493748,762,378.399994,56.299999,92.5
2018/10/13 15:30:00,21.959999,8.192499,31.599998,45.306248,764,311.199982,39.799999,92.5
2018/10/13 15:45:00,21.959999,8.192499,31.599998,45.293747,764,412.799988,41.5,92.5
2018/10/13 16:00:00,21.959999,8.192499,31.594999,45.299999,764,361.599976,58.549999,92.5
2018/10/13 16:15:00,21.959999,8.192499,31.594999,45.268749,766,306.399994,23.375,92.5
2018/10/13 16:30:00,21.959999,8.192499,31.594999,45.324997,764,234.599991,54.449997,92
2018/10/13 16:45:00,21.959999,8.192499,31.589998,45.40625,764,194,51.599998,92
2018/10/13 17:00:00,21.939999,8.192499,31.589998,45.481247,764,309.199982,49.849998,92
2018/10/13 17:15:00,21.959999,8.1875,31.589998,45.25,764,459.599976,35,92
2018/10/13 17:30:00,21.959999,8.1875,31.584999,45.25,764,297.599976,60,92
2018/10/13 17:45:00,21.959999,8.1875,31.584999,45.356247,766,286.799988,56.049999,92
2018/10/13 18:00:00,21.959999,8.1875,31.584999,45.368748,764,284.799988,62.699997,91.5
2018/10/13 18:15:00,21.959999,8.1875,31.58,45.324997,766,307.599976,66.699997,91.5
2018/10/13 18:30:00,21.939999,8.1875,31.574999,45.25,766,402.799988,36.5,91.5
2018/10/13 18:45:00,21.959999,8.1875,31.574999,45.28125,764,248.399994,62,91.5
2018/10/13 19:00:00,21.939999,8.1875,31.574999,45.306248,766,282.799988,56.549999,91.5
2018/10/13 19:15:00,21.939999,8.245,31.445,45.375,764,390.799988,53.699997,91
2018/10/13 19:30:00,21.939999,8.245,31.445,45.337498,766,302.399994,51.399998,91
2018/10/13 19:45:00,21.939999,8.245,31.445,45.368748,766,377.199982,46.849998,91
2018/10/13 20:00:00,21.939999,8.1875,31.564999,45.40625,764,356,52,91
2018/10/13 20:15:00,21.939999,8.245,31.439999,45.375,766,339.199982,52.299999,91
2018/10/13 20:30:00,21.939999,8.1875,31.564999,45.375,764,340,48.5,91
2018/10/13 20:45:00,21.919998,8.245,31.434999,45.481247,764,348.399994,46.75,91
2018/10/13 21:00:00,21.939999,8.245,31.434999,45.375,764,359.199982,35.399998,90.5
2018/10/13 21:15:00,21.919998,8.245,31.434999,45.387497,766,366.399994,43.849998,90.5
2018/10/13 21:30:00,21.919998,8.245,31.429998,45.493748,766,342,38.099998,90.5
2018/10/13 21:45:00,21.939999,8.245,31.429998,45.25,770,304,60.049999,90.5
2018/10/13 22:00:00,21.919998,8.245,31.424999,45.293747,768,264.399994,42.949997,90
2018/10/13 22:15:00,21.919998,8.245,31.424999,45.474998,766,331.599976,50.199997,90
2018/10/13 22:30:00,21.794998,8.1875,31.549999,45.399998,764,264.399994,31.974998,90
2018/10/13 22:45:00,21.794998,8.245,31.424999,45.443748,764,326.799988,38.699997,90
2018/10/13 23:00:00,21.794998,8.245,31.419998,45.256248,768,402,54.099998,90
2018/10/13 23:15:00,21.794998,8.245,31.414999,45.274998,770,292.799988,28.299999,90
2018/10/13 23:30:00,21.794998,8.245,31.414999,45.324997,770,440.399994,45.299999,90
2018/10/13 23:45:00,21.794998,8.245,31.41,45.3125,770,364,44.049999,90
2018/10/14 00:00:00,21.794998,8.245,31.41,45.481247,764,400.399994,35.299999,90
2018/10/14 00:15:00,21.775,8.245,31.404999,45.424999,770,287.199982,35.299999,90
2018/10/14 00:30:00,21.794998,8.245,31.404999,45.381248,768,227.199997,49.449997,89.5
2018/10/14 00:45:00,21.794998,8.245,31.4,45.462498,766,319.599976,51.199997,89.5
2018/10/14 01:00:00,21.794998,8.245,31.4,45.268749,768,282.799988,45,90
2018/10/14 01:15:00,21.794998,8.245,31.394999,45.456249,764,274.799988,45.199997,89.5
2018/10/14 01:30:00,21.794998,8.245,31.389999,45.449997,764,376.799988,31.824999,89.5
2018/10/14 01:45:00,21.794998,8.245,31.389999,45.256248,768,349.199982,63.849998,89.5
2018/10/14 02:00:00,21.775,8.24,31.384998,45.306248,770,366.799988,58.149998,89.5
2018/10/14 02:15:00,21.794998,8.24,31.384998,45.481247,764,287.199982,59.349998,89.5
2018/10/14 02:30:00,21.775,8.24,31.379999,45.399998,768,454.799988,51.049999,89.5
2018/10/14 02:45:00,21.775,8.24,31.379999,45.474998,766,386,31.549999,89.5
2018/10/14 03:00:00,21.775,8.24,31.375,45.256248,768,344.799988,36.549999,89.5
2018/10/14 03:15:00,21.794998,8.24,31.375,45.443748,766,391.199982,41.799999,89.5
2018/10/14 03:30:00,21.775,8.24,31.494999,45.231247,764,354,79.5,89.5
2018/10/14 03:45:00,21.775,8.24,31.494999,45.012497,768,320.399994,47.449997,89
2018/10/14 04:00:00,21.794998,8.24,31.49,45.03125,770,259.199982,35.449997,89
2018/10/14 04:15:00,21.775,8.24,31.49,45.03125,770,318.799988,22.275,89.5
2018/10/14 04:30:00,21.775,8.24,31.49,45,768,214.399994,48.5,89.5
2018/10/14 04:45:00,21.775,8.24,31.484999,45.012497,770,415.199982,47.899998,89
2018/10/14 05:00:00,21.775,8.24,31.484999,45.03125,770,344.399994,42.25,89.5
2018/10/14 05:15:00,21.775,8.24,31.484999,45.037498,770,319.599976,54.649998,89
2018/10/14 05:30:00,21.775,8.24,31.48,45.018749,768,250.599991,31.224998,89
2018/10/14 05:45:00,21.65,8.24,31.48,45.224998,766,456.399994,60.349998,89
2018/10/14 06:00:00,21.65,8.24,31.474998,45.012497,770,294.799988,47.649998,89
2018/10/14 06:15:00,21.65,8.24,31.469999,45.174999,764,264,39.199997,89
2018/10/14 06:30:00,21.669998,8.24,31.469999,45.049999,766,459.599976,72.699997,89
2018/10/14 06:45:00,21.669998,8.24,31.464998,45.006248,766,316,34.199997,89
2018/10/14 07:00:00,21.65,8.24,31.464998,45.206249,764,209.799988,66.899994,89
2018/10/14 07:15:00,21.65,8.24,31.459999,45.137497,770,302,52.5,89.5
2018/10/14 07:30:00,21.65,8.24,31.459999,45.143749,764,338.799988,28.824999,89
2018/10/14 07:45:00,21.65,8.24,31.455,45.237499,764,387.599976,67.199997,89
2018/10/14 08:00:00,21.65,8.235,31.455,45.15625,764,304,36.699997,89
2018/10/14 08:15:00,21.629999,8.24,31.449999,45.074997,768,328.799988,25.275,89.5
2018/10/14 08:30:00,21.629999,8.24,31.449999,45.024998,770,340,19.5,89.5
2018/10/14 08:45:00,21.65,8.24,31.455,45.131248,770,432,24,90
2018/10/14 09:00:00,21.65,8.235,31.449999,45.224998,764,238.399994,25.275,90.5
2018/10/14 09:15:00,21.65,8.24,31.455,45.224998,764,262.399994,22.949999,90.5
2018/10/14 09:30:00,21.629999,8.235,31.455,45.112499,768,374.399994,24.424999,91
2018/10/14 09:45:00,21.629999,8.235,31.459999,45.231247,768,357.199982,27.224998,91
2018/10/14 10:00:00,21.65,8.235,31.464998,45.049999,768,342,28,92
2018/10/14 10:15:00,21.65,8.235,31.464998,45.143749,770,434.799988,32.599998,92
2018/10/14 10:30:00,21.65,8.24,31.464998,45,770,290.399994,23.974998,92
2018/10/14 10:45:00,21.669998,8.24,31.469999,45.037498,768,344.399994,23.924999,92.5
2018/10/14 11:00:00,21.65,8.235,31.469999,45.0625,770,390.799988,24.775,93
2018/10/14 11:15:00,21.669998,8.235,31.469999,45.212498,764,357.199982,33.899998,93
2018/10/14 11:30:00,21.669998,8.24,31.469999,45,768,333.599976,26.574999,93
2018/10/14 11:45:00,21.65,8.235,31.474998,45.174999,768,285.199982,31.125,93.5
2018/10/14 12:00:00,21.794998,8.24,31.474998,45.168747,768,223.799988,33.099998,94
2018/10/14 12:15:00,21.794998,8.235,31.48,45.03125,770,304.399994,31.4,94
2018/10/14 12:30:00,21.794998,8.235,31.484999,45.037498,770,446,34.599998,94.5
2018/10/14 12:45:00,21.814999,8.24,31.49,45.181248,764,342.799988,32.599998,95
2018/10/14 13:00:00,21.794998,8.235,31.49,45.137497,768,191.599991,31.224998,95
2018/10/14 13:15:00,21.814999,8.235,31.494999,45.212498,764,278.799988,30.299999,96
2018/10/14 13:30:00,21.814999,8.24,31.375,45.256248,770,317.199982,28.199999,96.5
2018/10/14 13:45:00,21.814999,8.235,31.379999,45.443748,764,338.399994,22.974998,96
2018/10/14 14:00:00,21.814999,8.235,31.379999,45.306248,768,320.799988,29.799999,96.5
2018/10/14 14:15:00,21.814999,8.235,31.384998,45.337498,768,270.799988,26.25,97
2018/10/14 14:30:00,21.814999,8.235,31.384998,45.474998,768,335.199982,33.25,97
2018/10/14 14:45:00,21.814999,8.235,31.389999,45.362499,768,314.799988,29.775,97
2018/10/14 15:00:00,21.814999,8.235,31.389999,45.262497,770,327.599976,31.025,97
2018/10/14 15:15:00,21.814999,8.235,31.389999,45.274998,770,406,32.5,97
2018/10/14 15:30:00,21.834999,8.235,31.389999,45.25,768,302,31,97
2018/10/14 15:45:00,21.834999,8.235,31.394999,45.412498,764,394.399994,23.375,97
2018/10/14 16:00:00,21.834999,8.235,31.394999,45.443748,766,264.399994,24.474998,96.5
2018/10/14 16:15:00,21.814999,8.235,31.394999,45.331249,768,268.399994,28.424999,96.5
2018/10/14 16:30:00,21.834999,8.235,31.394999,45.368748,764,226.399994,29.299999,96.5
2018/10/14 16:45:00,21.834999,8.235,31.394999,45.4375,766,288.799988,25.75,96.5
2018/10/14 17:00:00,21.814999,8.235,31.394999,45.331249,768,179.799988,20.099998,96
2018/10/14 17:15:00,21.834999,8.235,31.394999,45.474998,766,276,26.049999,96
2018/10/14 17:30:00,21.834999,8.235,31.394999,45.431248,764,235,29.099998,95.5
2018/10/14 17:45:00,21.834999,8.24,31.394999,45.375,770,355.599976,24.574999,95.5
2018/10/14 18:00:00,21.814999,8.235,31.394999,45.368748,768,206.799988,23,95.5
2018/10/14 18:15:00,21.834999,8.235,31.394999,45.474998,766,287.599976,27.049999,95
2018/10/14 18:30:00,21.814999,8.235,31.389999,45.356247,770,337.599976,28.574999,95
2018/10/14 18:45:00,21.834999,8.235,31.389999,45.268749,770,435.199982,24.125,95
2018/10/14 19:00:00,21.814999,8.235,31.389999,45.337498,770,286.399994,59.849998,94.5
2018/10/14 19:15:00,21.814999,8.235,31.389999,45.349998,768,246,42.5,94.5
2018/10/14 19:30:00,21.814999,8.235,31.389999,45.349998,770,368.799988,49.149998,94
2018/10/14 19:45:00,21.814999,8.235,31.384998,45.25,768,283.199982,33.349998,94
2018/10/14 20:00:00,21.814999,8.235,31.384998,45.362499,770,334.799988,56.5,94
2018/10/14 20:15:00,21.814999,8.235,31.379999,45.299999,768,334.799988,53.099998,93.5
2018/10/14 20:30:00,21.814999,8.24,31.379999,45.274998,772,342.399994,66.099998,93.5
2018/10/14 20:45:00,21.814999,8.24,31.379999,45.34375,768,251.599991,112.399994,93
2018/10/14 21:00:00,21.814999,8.24,31.375,45.318748,768,394.399994,36.349998,93
2018/10/14 21:15:00,21.814999,8.24,31.375,45.387497,770,445.199982,88,93
2018/10/14 21:30:00,21.814999,8.235,31.494999,45.143749,770,298.399994,39.75,93
2018/10/14 21:45:00,21.814999,8.24,31.494999,45.068748,768,280.399994,38.349998,92.5
2018/10/14 22:00:00,21.814999,8.24,31.49,45.068748,770,313.599976,23.5,92.5
2018/10/14 22:15:00,21.814999,8.24,31.49,45.056248,774,408.399994,40.799999,92.5
2018/10/14 22:30:00,21.814999,8.24,31.49,45.212498,770,322.399994,91.899994,92
2018/10/14 22:45:00,21.814999,8.24,31.484999,45.049999,774,308.799988,35.599998,92
2018/10/14 23:00:00,21.814999,8.24,31.48,45.231247,768,274.399994,30.924999,92
2018/10/14 23:15:00,21.814999,8.24,31.48,45.15625,770,385.599976,105.899994,91.5
2018/10/14 23:30:00,21.709999,8.24,31.474998,45.193748,768,224.599991,55.449997,91.5
2018/10/14 23:45:00,21.689999,8.24,31.474998,45.243748,766,303.199982,46.399998,91.5
2018/10/15 00:00:00,21.669998,8.24,31.469999,45.143749,768,374.799988,30.775,91.5
2018/10/15 00:15:00,21.669998,8.24,31.469999,45.049999,774,340.799988,44,91.5
2018/10/15 00:30:00,21.689999,8.24,31.464998,45.131248,770,282.799988,87.5,91.5
2018/10/15 00:45:00,21.669998,8.24,31.464998,45.037498,772,310.799988,73.399994,91
2018/10/15 01:00:00,21.669998,8.24,31.459999,45.125,772,150,37.099998,91
2018/10/15 01:15:00,21.669998,8.24,31.455,45.03125,774,282.399994,82.099998,91
2018/10/15 01:30:00,21.689999,8.24,31.455,45.174999,770,375.199982,43.949997,90.5
2018/10/15 01:45:00,21.689999,8.24,31.449999,45.21875,768,353.599976,74.5,91
2018/10/15 02:00:00,21.669998,8.24,31.445,45.193748,770,331.599976,63.149998,90.5
2018/10/15 02:15:00,21.669998,8.24,31.445,45.09375,770,327.199982,59.799999,90.5
2018/10/15 02:30:00,21.669998,8.24,31.445,45.237499,768,395.199982,54.849998,90.5
2018/10/15 02:45:00,21.669998,8.24,31.439999,45.174999,768,237.199997,65.799995,90.5
2018/10/15 03:00:00,21.689999,8.24,31.434999,45.0625,768,420.399994,102.599998,90.5
2018/10/15 03:15:00,21.689999,8.24,31.434999,45.149998,768,471.599976,73.299995,90
2018/10/15 03:30:00,21.669998,8.24,31.424999,45.0625,768,241.799988,56.199997,90
2018/10/15 03:45:00,21.669998,8.24,31.429998,45.181248,764,376,26.5,90.5
2018/10/15 04:00:00,21.669998,8.24,31.424999,45.237499,764,332,65.399994,90
2018/10/15 04:15:00,21.544998,8.24,31.424999,45.043747,772,303.599976,107.399994,90
2018/10/15 04:30:00,21.544998,8.24,31.419998,45.224998,770,346.799988,62.149998,90
2018/10/15 04:45:00,21.544998,8.24,31.414999,45.237499,768,376.799988,78.199997,90
2018/10/15 05:00:00,21.544998,8.24,31.414999,45.21875,768,395.199982,92.199997,90
2018/10/15 05:15:00,21.544998,8.24,31.41,45.03125,768,366,37.5,90
2018/10/15 05:30:00,21.525,8.24,31.41,45.081249,772,456.799988,105.099998,90
2018/10/15 05:45:00,21.525,8.24,31.404999,45.143749,774,372.799988,123.399994,89.5
2018/10/15 06:00:00,21.525,8.24,31.4,45.018749,774,393.599976,60.5,90
2018/10/15 06:15:00,21.525,8.24,31.4,45.012497,772,239.599991,60.75,90
2018/10/15 06:30:00,21.544998,8.24,31.394999,45.199997,768,322.799988,36.5,90
2018/10/15 06:45:00,21.544998,8.24,31.394999,45.006248,770,288.799988,74.299995,89.5
2018/10/15 07:00:00,21.525,8.24,31.389999,45.131248,770,344.399994,39.449997,89.5
2018/10/15 07:15:00,21.525,8.24,31.384998,45.087498,768,508,53.699997,89.5
2018/10/15 07:30:00,21.525,8.245,31.389999,45.237499,774,310.799988,105,90
2018/10/15 07:45:00,21.525,8.245,31.389999,45.037498,772,255,116.5,90.5
2018/10/15 08:00:00,21.525,8.245,31.389999,45.099998,772,320.399994,115,90.5
2018/10/15 08:15:00,21.525,8.24,31.389999,45.037498,774,406.399994,127.399994,90.5
2018/10/15 08:30:00,21.525,8.24,31.389999,45.224998,768,152,24.025,91
2018/10/15 08:45:00,21.525,8.24,31.389999,45.15625,768,222,68.799995,92
2018/10/15 09:00:00,21.544998,8.245,31.389999,45.162498,768,288.799988,92.599998,92
2018/10/15 09:15:00,21.544998,8.245,31.4,45.237499,768,210.899994,134,92.5
2018/10/15 09:30:00,21.544998,8.245,31.4,45.112499,774,347.599976,110.099998,93
2018/10/15 09:45:00,21.544998,8.245,31.404999,45.112499,768,304.399994,86.199997,93
2018/10/15 10:00:00,21.544998,8.245,31.41,45.106247,770,312.399994,37.399998,94
2018/10/15 10:15:00,21.564999,8.245,31.419998,45.081249,768,345.599976,106.399994,94.5
2018/10/15 10:30:00,21.564999,8.245,31.424999,45.231247,764,310.399994,53.299999,95.5
2018/10/15 10:45:00,21.689999,8.24,31.424999,45.006248,772,274,142.199997,95.5
2018/10/15 11:15:00,21.689999,8.245,31.445,45.149998,768,316.799988,99.599998,97
2018/10/15 11:30:00,21.689999,8.24,31.445,45.149998,770,283.199982,55.399998,97
2018/10/15 11:45:00,21.689999,8.245,31.449999,45.243748,768,338,119,97.5
2018/10/15 12:00:00,21.709999,8.24,31.449999,45.212498,764,254.799988,54,97.5
2018/10/15 12:15:00,21.709999,8.24,31.455,45.181248,768,158,52.199997,97.5
2018/10/15 12:30:00,21.709999,8.24,31.459999,45.018749,768,272.399994,46.899998,98
2018/10/15 12:45:00,21.73,8.24,31.464998,45.018749,768,261.199982,37.849998,98.5
2018/10/15 13:00:00,21.73,8.24,31.469999,45.024998,768,210,62.549999,99
2018/10/15 13:15:00,21.73,8.24,31.474998,45.243748,770,259.199982,123.5,99.5
2018/10/15 13:30:00,21.73,8.24,31.48,45.068748,768,231.199997,24.449999,99.5
2018/10/15 13:45:00,21.855,8.24,31.48,45.09375,768,131.199997,96.599998,99.5
