Date,Location,Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L),ORP,Initials,Notes
2019-10-25,Ocean,0,0.03,0.4,0.6,8.22,132,0.61,0,NA,NA,KL,NA
2019-11-01,Ocean,0,0.02,0.6,0.8,8.42,130,0.35,0,NA,NA,KL,NA
2019-11-08,Ocean,0,0.02,0.6,1.1,8.3,131,0.23,0.015,NA,NA,KL,NA
2019-11-15,Ocean,0,0.04,1.3,1.1,8.21,116,0.28,0,NA,NA,KL,NA
2019-11-22,Ocean,0,0.03,0.5,0.5,8.23,138,1.79,0,NA,NA,KL,NA
2019-11-27,Ocean,0,0.03,0.5,0.6,8.37,132,0.36,0,NA,NA,KL,NA
2019-12-20,Ocean,0,0.09,0.4,0.7,8.41,129,1.86,0.002,NA,NA,KL,NA
2019-12-27,Ocean,0,0.04,0.4,0.1,8.4,137,NA,0.005,NA,NA,KL,NA
2020-01-03,Ocean,1,0.03,0.4,1,NA,136,0.99,0,NA,NA,KL,NA
2020-01-10,Ocean,0,0,0.5,0.6,NA,135,1.63,0,NA,NA,KL,NA
2020-01-17,Ocean,2,0.12,0.5,2.8,NA,135,1.63,0,NA,NA,KL,NA
2020-01-24,Ocean,0,0.14,0.6,0.9,8.46,133,3,0,NA,NA,KL,NA
2020-01-31,Ocean,0,0,0.4,0.3,8.51,128,1.6,0,NA,NA,KL,NA
2020-02-07,Ocean,0,0.03,0.5,0.6,NA,NA,1.35,0,NA,NA,KL,NA
2020-02-14,Ocean,0,0,0.6,1,8.53,137,1.82,0,NA,NA,KL,NA
2020-02-21,Ocean,0,0.04,0.4,0.6,NA,134,NA,0.002,NA,NA,KL,NA
2020-02-28,Ocean,0,0.05,0.5,0.5,8.56,132,1.81,0.001,NA,NA,KL,NA
2020-03-06,Ocean,0,0.05,0.7,1.2,8.57,130,NA,0.003,NA,NA,KL,NA
2020-03-13,Ocean,0,0.02,0.5,1.2,NA,131,NA,0.008,NA,NA,KL,NA
2020-03-20,Ocean,0,0.04,1.1,1.2,8.17,134,1.41,0.002,NA,NA,KL/KM,NA
2020-03-28,Ocean,0,0.07,0.6,0.8,8.18,132,1.26,0,NA,NA,KM,NA
2020-04-03,Ocean,0,0.03,0.5,0.9,8.23,152,NA,0.003,NA,NA,KM,NA
2020-04-10,Ocean,0,0.02,0.6,3.6,8.26,150,1.7,0.003,NA,NA,KM,NA
2020-04-17,Ocean,2,0.02,0.5,1,8.28,147,1.64,0.012,NA,NA,KM,NA
2020-04-25,Ocean,0,0.02,0.6,0.7,8.25,128,1.78,0.001,NA,NA,KM,NA
2020-05-01,Ocean,0,0,0.6,1.1,8.29,132,1.82,0.007,NA,NA,KM,NA
2020-05-08,Ocean,0,0.03,0,0,8.08,132,0.63,0,NA,NA,KL,NA
2020-05-15,Ocean,0,0.07,0.5,0.7,8.05,124,1.04,0,NA,NA,KL,NA
2020-05-22,Ocean,4,0.05,0.7,0.8,8.32,122,0.78,0,NA,NA,KL/KM,NA
2020-05-29,Ocean,0,0.08,0.8,2.1,8.56,112,0.67,0,NA,NA,KL/KM,NA
2020-06-05,Ocean,0,0.02,0.9,2.1,8.32,123,0.47,0.003,NA,NA,KM,NA
2020-06-12,Ocean,0,0.04,0.8,1,8.27,124,0.52,0.004,NA,NA,KM,NA
2020-06-19,Ocean,0,0.06,0.7,0.9,NA,108,0.49,0,NA,NA,KL,NA
2020-06-26,Ocean,0,0.04,0.7,1,8.27,126,0.4,0,NA,NA,KM,NA
2020-07-03,Ocean,0,0.01,0.7,0.6,8.28,128,0.41,0,NA,NA,KM,NA
2020-07-10,Ocean,0,0.05,1.1,1.8,NA,135,0.46,0.022,NA,NA,KM,NA
2020-07-17,Ocean,0,0.11,0.8,1,NA,122,0.52,0,NA,NA,KL,NA
2020-07-24,Ocean,0,0,0.6,0.5,NA,127,0.62,0,NA,NA,KL,NA
2020-07-28,Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KL,NA
2020-07-31,Ocean,0,0.05,0.4,0.3,8.23,198,0.52,0.033,NA,NA,KM,NA
2020-08-07,Ocean,0,0.01,0.7,1.3,8.29,126,0.31,0.032,NA,NA,KM,NA
2020-08-14,Ocean,0,0,1.7,1.6,NA,126,0.31,0.033,NA,NA,KL,NA
2020-08-21,Ocean,0,0.02,1.3,1.6,NA,123,0.44,0,NA,NA,KL,NA
2020-08-28,Ocean,0,0.15,1.7,1.7,8.23,130,0.41,0.003,NA,NA,KL,NA
2020-09-04,Ocean,4,0.02,1.5,1.3,NA,134,0.02,0,NA,NA,KL,NA
2020-09-11,Ocean,0,0.05,1.7,2.3,NA,121,0.29,0,NA,NA,KL & DMT,NA
2020-09-18,Ocean,0,0.02,1.5,1.8,8.27,117,0.37,0,NA,NA,"KM, BS & DMT",NA
2020-09-25,Ocean,0,0.01,1.3,1.8,NA,102,0.41,0,NA,NA,KM/BS,NA
2020-10-02,Ocean,0,0.19,1.4,1.6,8.28,103,0.33,0,NA,NA,BS,NA
2020-10-09,Ocean,0,0.05,1.2,2,8.22,114,0.36,0.05,NA,NA,BS,NA
2020-10-16,Ocean,0,0,1.8,2.5,8.27,116,0.38,0.007,NA,NA,BS,NA
2020-10-23,Ocean,0,0.17,1.6,2.2,8.15,119,0.36,0,NA,NA,BS,NA
2020-10-30,Ocean,0,0.05,1.3,1.3,8.18,130,0.36,0.015,NA,NA,BS,NA
2020-11-06,Ocean,0,0.09,0.9,1.2,8.19,132,0.48,0,NA,NA,BS,NA
2020-11-13,Ocean,0,0.37,0.9,0.9,NA,133,0.55,0,NA,NA,KL?,NA
2020-11-20,Ocean,0,0.11,1.5,3.2,8.14,152,0.91,0,NA,NA,BS,NA
2020-11-27,Ocean,0,0.1,0.9,0.7,8.13,126,0.56,0,NA,NA,BS,NA
2020-12-04,Ocean,0,0.19,1.4,1.2,8.07,129,0.61,0.016,NA,NA,BS,NA
2020-12-11,Ocean,0,0,2.3,1.3,8.09,131,0.77,0,NA,NA,BS,NA
2020-12-18,Ocean,0,0,1.1,2.1,8.1,126,0.51,0.003,NA,NA,DMT,NA
2020-12-25,Ocean,0,0.11,1.1,0.9,8.07,128,0.78,0.003,NA,NA,DMT,NA
2021-01-01,Ocean,0,0.13,1.1,2.1,8.07,118,0.58,0,NA,NA,"DMT,MR",NA
2021-01-08,Ocean,0,0,1.4,2.1,8.11,127,0.79,0,NA,NA,"BS,MR,DMT",NA
2021-01-15,Ocean,0,0.05,0.8,1.5,8.14,85,0.72,0,NA,NA,"BS, MR",NA
2021-01-22,Ocean,0,0.09,1.2,2.3,8.1,123,0.86,0,NA,NA,MR,NA
2021-01-29,Ocean,0,0.03,1.4,1.7,8.07,98,0.86,0.002,NA,NA,"BS, MR",NA
2021-02-05,Ocean,0,0.07,1.5,2.1,8.16,142,NA,0,NA,NA,"BS, MR",NA
2021-02-12,Ocean,0,0.09,1.2,1.7,8.17,137,0.5,0.002,NA,NA,"BS, MR, KM",NA
2021-02-19,Ocean,0,0.03,1,2.1,8.35,143,0.5,0,NA,NA,"BS, MR",NA
2021-03-05,Ocean,3,0.08,0.7,1.4,8.25,132,0.64,0,NA,NA,BS,NA
2021-03-12,Ocean,0,0.05,1,1.5,8.27,134,0.7,0.001,NA,NA,MR,NA
2021-03-19,Ocean,0,0.03,1,1.5,8.23,133,0.59,0.002,NA,NA,MR,NA
2021-03-26,Ocean,0,0,1.1,1.2,8.34,131,0.5,0.006,NA,NA,"MR, BS",NA
2021-04-02,Ocean,0,0.04,0.5,0.7,8.4,135,0.51,0,NA,NA,BS,NA
2021-04-09,Ocean,0,0.02,0.9,0.8,8.28,136,0.45,0,NA,NA,"BS, MR",NA
2021-04-16,Ocean,0,0.05,1.1,1.5,8.24,126,1.2,0,NA,NA,"BS, MR, KM",NA
2021-04-23,Ocean,0,0.19,1.3,1.9,8.19,132,0.64,0,NA,NA,"MR, KM",NA
2021-04-30,Ocean,0,0.11,1,0.9,8.21,123,0.75,0,NA,NA,"BS, MR, KM",NA
2021-05-07,Ocean,0,0.15,1.3,2.4,8.27,135,0.84,0.007,NA,NA,"MR, BS",NA
2021-05-14,Ocean,0,0.11,1.6,1.2,8.35,125,2.05,0,NA,NA,"km,bs",NA
2021-05-21,Ocean,0,0.04,1.3,0.8,8.36,125,0.92,0.002,NA,NA,MR,NA
2021-05-28,Ocean,0,0,1.5,2,8.38,125,0.83,0.001,NA,NA,MR,NA
2021-06-04,Ocean,0,0.05,1.5,2.2,8.21,126,0.95,0.005,NA,NA,"MR,BS",NA
2021-06-11,Ocean,0,0.16,1.1,1,8.25,131,NA,0,NA,NA,BS,NA
2021-06-18,Ocean,0,0.11,1.3,1.5,8.27,125,0.94,NA,NA,NA,"BS, MR, DS",NA
2021-06-25,Ocean,4,0.17,1.6,1.3,8.22,132,1.26,0.018,NA,NA,"BS,KM,DS",NA
2021-07-02,Ocean,5,0.09,1.4,1.3,8.21,126,1.64,0.013,NA,NA,"BS, KM",NA
2021-07-09,Ocean,0,0.16,1.4,1.9,8.14,128,1.86,0,NA,NA,"BS, MR, DS",NA
2021-07-16,Ocean,0,0,1.5,1.9,8.15,128,1.82,0.009,NA,NA,"MR,DS",NA
2021-07-23,Ocean,0,0.13,1.6,1.7,8.21,125,1.61,0.007,NA,NA,"MR, DS",NA
2021-07-30,Ocean,0,0.21,1.2,1.1,8.17,123,1.86,0.006,NA,NA,MR,NA
2021-08-06,Ocean,0,0.22,1.3,1.3,8.15,119,1.24,0,NA,NA,"MR, KM",NA
2021-08-13,Ocean,0,0.25,1.3,1.3,8.15,130,1.53,0.004,NA,NA,MR,NA
2021-08-20,Ocean,2,0.18,1.3,1.9,8.21,120,1.58,0.01,NA,NA,"MR, DS",NA
2021-08-27,Ocean,2,0.27,1.8,2,8.26,117,1.61,0.006,NA,NA,"MR, DS",NA
2021-09-03,Ocean,0,0.2,1.6,2.3,8.19,115,1.78,0.015,NA,NA,"MR, DS",NA
2021-09-10,Ocean,0,0.16,1.3,1.8,8.24,115,1.88,0.012,NA,NA,"MR, DS",NA
2021-09-17,Ocean,0,0.21,1.1,1.5,8.22,112,1.9,0.008,NA,NA,"MR, DS",NA
2021-09-24,Ocean,0,0.11,1.2,2.2,8.15,128,2.09,0,NA,NA,"MR, DS",NA
2021-10-01,Ocean,4,0.17,1.3,2.1,8.18,132,2.01,0.01,NA,NA,"MR, DS",NA
2021-10-08,Ocean,0,0.14,1.2,1.5,NA,138,1.93,0.008,NA,NA,"MR, KM",NA
2021-10-15,Ocean,0,0.13,0.8,1.6,8.16,131,1.79,0,NA,NA,"MR, DS",NA
2021-10-22,Ocean,0,0.12,0.8,1,8.13,139,NA,0.009,NA,NA,"MR, DS",NA
2021-10-29,Ocean,0,0.16,0.8,0.8,8.16,136,1.9,0.004,NA,NA,"MR, DS",NA
2021-11-05,Ocean,0,0.1,1.1,1.1,8.16,130,2.03,0,NA,NA,"MR, DS",NA
2021-11-12,Ocean,0,0.16,1,0.9,8.11,139,1.84,0.008,NA,NA,MR,NA
2021-11-19,Ocean,0,0.31,1,1.6,8.05,132,1.69,0,NA,NA,DS,NA
2021-11-26,Ocean,0,0.1,0.8,1.2,8.03,129,1.78,0.006,NA,NA,DS,NA
2021-12-03,Ocean,0,0.13,1.1,1.4,8.07,128,1.86,0.015,NA,NA,DS,NA
2021-12-10,Ocean,0,0.14,0.9,1.2,7.98,128,1.89,0,NA,NA,DS,NA
2021-12-17,Ocean,0,0.06,0.7,0.8,7.97,123,1.73,0.009,NA,NA,DS,NA
2021-12-24,Ocean,0,0.11,0.8,0.8,8.02,128,1.89,0.005,NA,NA,DS,NA
2021-12-31,Ocean,0,0.07,0.7,1.2,8.02,128,2.09,0.01,NA,NA,DT,NA
2022-01-07,Ocean,0,0.24,0.7,1.5,8,128,1.91,0.009,NA,NA,DS,NA
2022-01-14,Ocean,2,0.13,0.7,0,8.06,125,1.88,0.006,NA,NA,DS,NA
2022-01-21,Ocean,0,0.24,0.8,1.1,8.08,142,NA,0.02,NA,NA,DS,NA
2022-01-28,Ocean,0,0.03,0.1,0,8.06,133.5,1.96,0.016,NA,NA,"DS, RG, LC",NA
2022-02-04,Ocean,0,0.09,0.8,1.3,8.07,131,1.82,0.013,NA,NA,"DS, RG, LC",NA
2022-02-11,Ocean,0,0.07,0.6,1.2,8.1,134,NA,0.016,NA,NA,"DS, RG, LG",NA
2022-02-18,Ocean,0,0.12,NA,NA,8.11,132,NA,0.005,NA,NA,"DS, LC",NA
2022-02-25,Ocean,0,0.08,0.9,0.7,8.15,130,1.16,0.014,NA,NA,"DS, LC",NA
2022-03-04,Ocean,0,0.06,0.8,0.8,8.02,125,1.42,0.017,NA,NA,LC,NA
2022-03-11,Ocean,0,0.07,0.7,0.4,8.17,132,1.22,0.005,NA,NA,"DS, LC",NA
2022-03-18,Ocean,0,0.07,0.9,0.9,8.23,138,1.55,0.011,NA,NA,"LC, ED",NA
2022-03-25,Ocean,0,0.14,0.8,1.2,8.18,124,1.65,0,NA,NA,"LC, DS",NA
2022-04-01,Ocean,0,0.09,0.9,0.9,8.1,122,1.59,0,NA,NA,"LC, DS, RG",NA
2022-04-08,Ocean,0,0.1,1,1.1,8.18,128,1.62,0,NA,NA,"LC, DS",NA
2022-04-15,Ocean,0,0.13,0.9,1.4,8.24,121,1.57,0.002,NA,NA,LC,NA
2022-04-22,Ocean,0,0.22,1.2,1,8.25,121,1.52,0.002,NA,NA,"LC, DS",NA
2022-04-29,Ocean,0,0.14,1.1,0.8,8.23,125,1.7,0.002,NA,NA,"LC, DS",NA
2022-05-06,Ocean,0,0.19,1.1,1.3,8.24,120,1.68,0.006,NA,NA,"LC, DS",NA
2022-05-13,Ocean,0,0.16,0.9,1.4,8.17,122,1.73,0.008,NA,NA,LC,NA
2022-05-20,Ocean,0,0.22,1.4,1.4,8.1,123,1.81,0,NA,NA,"LC, DS",NA
2022-05-27,Ocean,4,0.15,1.1,1.5,8.22,133,2.18,0.011,NA,NA,"LC, DS",NA
2022-06-10,Ocean,2,0.22,1.3,1.87,NA,115,NA,0.002,NA,NA,"RG, LC, SK",NA
2022-06-17,Ocean,0,0.07,1.33,1.13,8.13,120,1.89,0.001,NA,NA,"DS, AE, LC",NA
2022-06-24,Ocean,0,0.2,1.27,1.57,7.97,110,1.94,0.022,NA,NA,"DS, AE, LC",NA
2022-07-01,Ocean,0,0.03,NA,NA,8.01,117,2.01,0,NA,NA,"DS, AE",NA
2022-07-08,Ocean,0,NA,NA,NA,8.06,123,2,0.009,NA,NA,"LC, AE",NA
2022-07-15,Ocean,0,NA,NA,NA,8.05,120,2.03,0.008,NA,NA,"AE, DS",NA
2022-07-22,Ocean,5,NA,NA,NA,8.07,117,2.11,0.023,NA,NA,"AE, DS",NA
2022-07-29,Ocean,0,0.06,NA,NA,7.99,120,NA,0.009,NA,NA,AE,NA
2022-08-05,Ocean,5,0.23,1.3,2.27,8.08,118.5,NA,0.015,NA,NA,"AE, DS",NA
2022-08-12,Ocean,7,0.12,1.43,1.96,8.09,132,NA,0,NA,NA,"AE, DS",NA
2022-08-26,Ocean,0,0.13,1.36,2.33,8.11,122,NA,0,NA,NA,"LC, AW",NA
2022-09-02,Ocean,4,0,1.3,1.7,8.08,112.5,NA,0.002,NA,NA,"DS, AW",NA
2022-09-09,Ocean,0,0.11,1.2,1.8,8.09,117,NA,0.019,NA,NA,"DS, LC",NA
2022-09-16,Ocean,0,0.17,1.4,1.4,8.06,115,NA,0.011,NA,NA,DS,NA
2022-09-23,Ocean,3,0.45,1.03,1.5,8.07,115,NA,0.042,NA,NA,"DS, LC, JH",NA
2022-09-30,Ocean,0,0.4,1.13,1.3,8.03,113,NA,0.018,NA,NA,"DS, LC",NA
2022-10-03,Ocean,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,RG,NA
2022-10-07,Ocean,0,0.18,1.83,2.37,8.03,116,NA,0.012,NA,NA,"DS, JH",NA
2022-10-14,Ocean,0,0.09,1.07,0,8.08,118,NA,0.004,NA,NA,"DS, JH",NA
2022-10-25,Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RG,NA
2017-12-01,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-07,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-15,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-21,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-28,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-03,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-19,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-25,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-10,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-14,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-23,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-02,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
