year,month,variable,mean,median,std,IQR,min,max
2011,September,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,October,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,October,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,October,conductivity_uScm,45478.75,45300,359.24,500,44800,46300
2011,October,do_local_percent,NA,NA,NA,NA,NA,NA
2011,October,do_mgL,NA,NA,NA,NA,NA,NA
2011,October,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,October,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,October,orp_mV,334.56,333,26.07,51,278,377
2011,October,pH,8.52,8.5,0.04,0,8.5,8.6
2011,October,pH_mV,NA,NA,NA,NA,NA,NA
2011,October,salinity_psu,28.8,28.8,0,0,28.8,28.8
2011,October,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,October,temp_c,25.87,25.7,0.38,0.5,25.2,26.7
2011,October,temp_f,78.57,78.29,0.72,1.01,77.28,80.26
2011,October,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,October,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,October,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,November,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,November,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,November,conductivity_uScm,43490.59,43200,1197.33,2200,41900,45500
2011,November,do_local_percent,NA,NA,NA,NA,NA,NA
2011,November,do_mgL,NA,NA,NA,NA,NA,NA
2011,November,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,November,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,November,orp_mV,378.59,381,7.57,9,355,390
2011,November,pH,8.5,8.5,0,0,8.5,8.5
2011,November,pH_mV,NA,NA,NA,NA,NA,NA
2011,November,salinity_psu,27.36,26.85,0.93,1.73,26.4,28.8
2011,November,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,November,temp_c,25.99,26,0.28,0.5,25.4,26.6
2011,November,temp_f,78.8,78.8,0.51,0.79,77.67,79.87
2011,November,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,November,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,November,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,December,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,December,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,December,conductivity_uScm,42681.55,42700,504.34,700,41300,43500
2011,December,do_local_percent,NA,NA,NA,NA,NA,NA
2011,December,do_mgL,NA,NA,NA,NA,NA,NA
2011,December,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,December,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,December,orp_mV,383.02,385,13.23,18,343,402
2011,December,pH,8.47,8.5,0.05,0.1,8.4,8.6
2011,December,pH_mV,NA,NA,NA,NA,NA,NA
2011,December,salinity_psu,26.78,26.8,0.12,0.2,26.6,27
2011,December,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,December,temp_c,26.01,26.1,0.44,0.4,24.7,26.8
2011,December,temp_f,78.92,78.97,0.74,0.84,76.89,80.26
2011,December,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,December,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,December,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,January,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,January,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,January,conductivity_uScm,43553.84,43500,177.02,100,43200,44000
2012,January,do_local_percent,NA,NA,NA,NA,NA,NA
2012,January,do_mgL,NA,NA,NA,NA,NA,NA
2012,January,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,January,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,January,orp_mV,374.65,376,16.52,24,317,400
2012,January,pH,8.53,8.5,0.04,0.1,8.5,8.6
2012,January,pH_mV,NA,NA,NA,NA,NA,NA
2012,January,salinity_psu,27.08,27.1,0.08,0.1,26.9,27.2
2012,January,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,January,temp_c,26.6,26.6,0.31,0.3,25.9,27.4
2012,January,temp_f,79.89,79.92,0.48,0.56,78.74,81.16
2012,January,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,January,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,January,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,February,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,February,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,February,conductivity_uScm,43335.38,43400,393.03,600,42500,44000
2012,February,do_local_percent,NA,NA,NA,NA,NA,NA
2012,February,do_mgL,NA,NA,NA,NA,NA,NA
2012,February,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,February,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,February,orp_mV,353.87,355,6.81,9,327,370
2012,February,pH,8.6,8.6,0,0,8.6,8.6
2012,February,pH_mV,NA,NA,NA,NA,NA,NA
2012,February,salinity_psu,26.9,26.9,0.15,0.3,26.7,27.1
2012,February,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,February,temp_c,26.59,26.6,0.33,0.4,25.9,27.4
2012,February,temp_f,79.97,79.98,0.59,0.73,78.46,81.61
2012,February,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,February,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,February,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,March,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,March,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,March,conductivity_uScm,42515.82,42500,247.98,300,41900,43300
2012,March,do_local_percent,NA,NA,NA,NA,NA,NA
2012,March,do_mgL,NA,NA,NA,NA,NA,NA
2012,March,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,March,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,March,orp_mV,389.96,393,16.36,24,336,415
2012,March,pH,8.7,8.7,0,0,8.7,8.7
2012,March,pH_mV,NA,NA,NA,NA,NA,NA
2012,March,salinity_psu,26.54,26.5,0.13,0.3,26.3,26.7
2012,March,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,March,temp_c,26.22,26.2,0.34,0.6,25.4,27
2012,March,temp_f,79.26,79.31,0.64,1.01,77.67,80.66
2012,March,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,March,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,March,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,April,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,April,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,April,conductivity_uScm,42008.72,42000,272.42,400,41400,42800
2012,April,do_local_percent,NA,NA,NA,NA,NA,NA
2012,April,do_mgL,NA,NA,NA,NA,NA,NA
2012,April,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,April,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,April,orp_mV,377.25,387,16.15,31,348,395
2012,April,pH,8.7,8.7,0,0,8.7,8.7
2012,April,pH_mV,NA,NA,NA,NA,NA,NA
2012,April,salinity_psu,26.29,26.3,0.06,0,26.2,26.4
2012,April,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,April,temp_c,26.04,26,0.33,0.5,25.4,26.9
2012,April,temp_f,78.94,78.86,0.65,0.96,77.62,80.88
2012,April,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,April,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,April,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,May,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,May,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,May,conductivity_uScm,40787.64,40700,573.92,600,39700,42100
2012,May,do_local_percent,NA,NA,NA,NA,NA,NA
2012,May,do_mgL,NA,NA,NA,NA,NA,NA
2012,May,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,May,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,May,orp_mV,347.56,350,9.22,15,321,362
2012,May,pH,8.8,8.8,0,0,8.8,8.8
2012,May,pH_mV,NA,NA,NA,NA,NA,NA
2012,May,salinity_psu,26.19,26.2,0.06,0.1,26.1,26.3
2012,May,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,May,temp_c,24.74,24.7,0.65,0.8,23.5,26.2
2012,May,temp_f,76.52,76.55,1.12,1.46,74.24,79.25
2012,May,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,May,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,May,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,July,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,July,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,July,conductivity_uScm,40666.4,40700,294.73,400,40000,41300
2012,July,do_local_percent,NA,NA,NA,NA,NA,NA
2012,July,do_mgL,NA,NA,NA,NA,NA,NA
2012,July,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,July,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,July,orp_mV,297.11,296,5.28,6.75,285,310
2012,July,pH,8.8,8.8,0,0,8.8,8.8
2012,July,pH_mV,NA,NA,NA,NA,NA,NA
2012,July,salinity_psu,25.83,25.8,0.05,0.1,25.8,25.9
2012,July,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,July,temp_c,25.25,25.3,0.42,0.5,24.4,26.1
2012,July,temp_f,77.42,77.51,0.76,1,75.76,78.91
2012,July,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,July,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,July,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,August,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,August,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,August,conductivity_uScm,39441.37,39500,459.27,300,37200,39800
2012,August,do_local_percent,NA,NA,NA,NA,NA,NA
2012,August,do_mgL,NA,NA,NA,NA,NA,NA
2012,August,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,August,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,August,orp_mV,284.38,285,5.54,6,271,296
2012,August,pH,8.81,8.8,0.05,0,8.7,8.9
2012,August,pH_mV,NA,NA,NA,NA,NA,NA
2012,August,salinity_psu,25.56,25.6,0.29,0.1,24,25.8
2012,August,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,August,temp_c,24.53,24.6,0.35,0.6,23.9,25.4
2012,August,temp_f,76.07,76.16,0.62,1.12,74.86,77.28
2012,August,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,August,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,August,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,September,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,September,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,September,conductivity_uScm,39072.47,39400,1203.05,1100,35100,40200
2012,September,do_local_percent,NA,NA,NA,NA,NA,NA
2012,September,do_mgL,NA,NA,NA,NA,NA,NA
2012,September,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,September,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,September,orp_mV,259.15,260,8.53,16,241,272
2012,September,pH,8.8,8.8,0,0,8.8,8.8
2012,September,pH_mV,NA,NA,NA,NA,NA,NA
2012,September,salinity_psu,25.38,25.5,0.4,0.4,24,25.7
2012,September,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,September,temp_c,24.37,24.3,0.24,0.4,24,24.9
2012,September,temp_f,75.86,75.76,0.42,0.62,75.14,76.83
2012,September,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,September,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,September,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,October,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,October,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,October,conductivity_uScm,37783.02,38100,1150.26,800,34000,39200
2012,October,do_local_percent,NA,NA,NA,NA,NA,NA
2012,October,do_mgL,NA,NA,NA,NA,NA,NA
2012,October,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,October,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,October,orp_mV,247.62,248,2.26,4,243,252
2012,October,pH,8.8,8.8,0,0,8.8,8.8
2012,October,pH_mV,NA,NA,NA,NA,NA,NA
2012,October,salinity_psu,25.61,25.7,0.37,0,24,25.7
2012,October,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,October,temp_c,23.04,23,0.84,1.6,21.7,24.4
2012,October,temp_f,73.41,73.23,1.5,2.76,71.04,75.65
2012,October,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,October,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,October,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,January,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,January,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,January,conductivity_uScm,41331.47,41400,149.84,100,41000,41500
2013,January,do_local_percent,NA,NA,NA,NA,NA,NA
2013,January,do_mgL,NA,NA,NA,NA,NA,NA
2013,January,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,January,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,January,orp_mV,206.47,206,0.74,1,205,208
2013,January,pH,8.7,8.7,0,0,8.7,8.7
2013,January,pH_mV,NA,NA,NA,NA,NA,NA
2013,January,salinity_psu,25.6,25.6,0,0,25.6,25.6
2013,January,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,January,temp_c,26.48,26.5,0.15,0.2,26.1,26.6
2013,January,temp_f,79.94,79.92,0.3,0.37,79.25,80.54
2013,January,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,January,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,January,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,February,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,February,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,February,conductivity_uScm,41197.45,41200,173.47,300,40800,41500
2013,February,do_local_percent,NA,NA,NA,NA,NA,NA
2013,February,do_mgL,NA,NA,NA,NA,NA,NA
2013,February,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,February,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,February,orp_mV,200.98,201,2.87,4,195,209
2013,February,pH,8.74,8.7,0.05,0.1,8.7,8.8
2013,February,pH_mV,NA,NA,NA,NA,NA,NA
2013,February,salinity_psu,25.6,25.6,0,0,25.6,25.6
2013,February,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,February,temp_c,26.29,26.3,0.22,0.4,25.6,26.7
2013,February,temp_f,79.53,79.59,0.42,0.62,78.29,80.43
2013,February,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,February,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,February,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,March,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,March,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,March,conductivity_uScm,41590.64,41700,370.65,500,40800,42400
2013,March,do_local_percent,NA,NA,NA,NA,NA,NA
2013,March,do_mgL,NA,NA,NA,NA,NA,NA
2013,March,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,March,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,March,orp_mV,190.34,191,5.1,9,173,199
2013,March,pH,8.8,8.8,0,0,8.8,8.8
2013,March,pH_mV,NA,NA,NA,NA,NA,NA
2013,March,salinity_psu,25.65,25.7,0.06,0.1,25.6,25.8
2013,March,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,March,temp_c,26.73,26.8,0.4,0.6,25.8,27.6
2013,March,temp_f,80.22,80.38,0.73,1.07,78.41,82.12
2013,March,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,March,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,March,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,April,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,April,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,April,conductivity_uScm,41679.71,41700,126.49,200,41400,41900
2013,April,do_local_percent,NA,NA,NA,NA,NA,NA
2013,April,do_mgL,NA,NA,NA,NA,NA,NA
2013,April,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,April,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,April,orp_mV,194.05,194,4.12,6,185,202
2013,April,pH,8.84,8.8,0.05,0.1,8.8,8.9
2013,April,pH_mV,NA,NA,NA,NA,NA,NA
2013,April,salinity_psu,25.7,25.7,0,0,25.7,25.7
2013,April,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,April,temp_c,26.69,26.7,0.14,0.2,26.4,26.9
2013,April,temp_f,80.11,80.04,0.28,0.45,79.59,80.88
2013,April,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,April,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,April,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,July,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,July,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,July,conductivity_uScm,38567.95,38600,273.76,500,38000,39000
2013,July,do_local_percent,NA,NA,NA,NA,NA,NA
2013,July,do_mgL,NA,NA,NA,NA,NA,NA
2013,July,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,July,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,July,orp_mV,180.31,181,2.83,3,174,188
2013,July,pH,8.84,8.8,0.05,0.1,8.8,8.9
2013,July,pH_mV,NA,NA,NA,NA,NA,NA
2013,July,salinity_psu,25.2,25.2,0,0,25.2,25.2
2013,July,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,July,temp_c,23.72,23.8,0.31,0.5,23.1,24.2
2013,July,temp_f,74.6,74.75,0.57,0.96,73.34,75.59
2013,July,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,July,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,July,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,August,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,August,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,August,conductivity_uScm,38075.6,38100,182.83,300,37700,38500
2013,August,do_local_percent,NA,NA,NA,NA,NA,NA
2013,August,do_mgL,NA,NA,NA,NA,NA,NA
2013,August,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,August,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,August,orp_mV,179.4,179,2.68,4,173,186
2013,August,pH,8.8,8.8,0,0,8.8,8.8
2013,August,pH_mV,NA,NA,NA,NA,NA,NA
2013,August,salinity_psu,25,25,0.06,0,24.9,25.1
2013,August,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,August,temp_c,23.41,23.4,0.28,0.4,22.8,23.9
2013,August,temp_f,74.05,74.08,0.5,0.73,72.89,75.03
2013,August,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,August,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,August,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,September,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,September,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,September,conductivity_uScm,37797.01,37700,285.43,400,37300,38400
2013,September,do_local_percent,NA,NA,NA,NA,NA,NA
2013,September,do_mgL,NA,NA,NA,NA,NA,NA
2013,September,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,September,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,September,orp_mV,176.35,176,2.42,3,168,185
2013,September,pH,8.8,8.8,0,0,8.8,8.8
2013,September,pH_mV,NA,NA,NA,NA,NA,NA
2013,September,salinity_psu,24.83,24.8,0.05,0.1,24.8,24.9
2013,September,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,September,temp_c,23.34,23.3,0.33,0.5,22.7,24
2013,September,temp_f,74,73.91,0.6,0.9,72.95,75.31
2013,September,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,September,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,September,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,October,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,October,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,October,conductivity_uScm,38140.3,38200,168.97,200,37700,38300
2013,October,do_local_percent,NA,NA,NA,NA,NA,NA
2013,October,do_mgL,NA,NA,NA,NA,NA,NA
2013,October,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,October,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,October,orp_mV,179.29,180,2.94,3,172,186
2013,October,pH,8.8,8.8,0,0,8.8,8.8
2013,October,pH_mV,NA,NA,NA,NA,NA,NA
2013,October,salinity_psu,24.75,24.8,0.05,0.1,24.7,24.8
2013,October,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,October,temp_c,23.84,24,0.36,0.5,23,24.3
2013,October,temp_f,75.02,75.2,0.62,0.79,73.51,76.16
2013,October,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,October,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,October,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,November,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,November,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,November,conductivity_uScm,38261,38300,72.33,100,38100,38400
2013,November,do_local_percent,NA,NA,NA,NA,NA,NA
2013,November,do_mgL,NA,NA,NA,NA,NA,NA
2013,November,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,November,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,November,orp_mV,176.99,177,0.67,0,174,178
2013,November,pH,8.7,8.7,0,0,8.7,8.7
2013,November,pH_mV,NA,NA,NA,NA,NA,NA
2013,November,salinity_psu,24.6,24.6,0,0,24.6,24.6
2013,November,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,November,temp_c,24.4,24.4,0.08,0.2,24.3,24.5
2013,November,temp_f,75.97,75.99,0.12,0.22,75.76,76.21
2013,November,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,November,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,November,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2014,February,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2014,February,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2014,February,conductivity_uScm,40100,40100,0,0,40100,40100
2014,February,do_local_percent,NA,NA,NA,NA,NA,NA
2014,February,do_mgL,NA,NA,NA,NA,NA,NA
2014,February,do_saturated_percent,NA,NA,NA,NA,NA,NA
2014,February,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2014,February,orp_mV,165.06,164,2.12,5,163,169
2014,February,pH,8.8,8.8,0,0,8.8,8.8
2014,February,pH_mV,NA,NA,NA,NA,NA,NA
2014,February,salinity_psu,24.9,24.9,0,0,24.9,24.9
2014,February,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2014,February,temp_c,26.26,26.3,0.05,0.1,26.2,26.3
2014,February,temp_f,79.29,79.31,0.06,0.11,79.19,79.36
2014,February,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2014,February,total_algae_rfu,NA,NA,NA,NA,NA,NA
2014,February,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2014,March,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2014,March,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2014,March,conductivity_uScm,39952.55,40000,150.13,200,39600,40200
2014,March,do_local_percent,NA,NA,NA,NA,NA,NA
