row,column,cor_coeff,p_value
Temperature (ºF),pH (mV),0.13,0.08
Temperature (ºC),pH (mV),0.13,0.08
Turbidity (RFU),Salinity (PSU),0.05,0.46
Phosphate (mg/L),Salinity (PSU),-0.2,0
"Nitrate, Mid-Range (mg/L)",Salinity (PSU),-0.14,0.03
"Nitrate, High-Range (mg/L)",Salinity (PSU),-0.27,0
Alkalinity (mg/L CaCO3),Salinity (PSU),-0.04,0.56
Silica (mg/L),Salinity (PSU),-0.09,0.21
Iron (mg/L),Salinity (PSU),-0.08,0.25
Ammonia (mg/L),Salinity (PSU),-0.51,0.13
Temperature (ºF),Salinity (PSU),0.37,0
Temperature (ºC),Salinity (PSU),0.26,0
pH (mV),Salinity (PSU),-0.28,0
Turbidity (RFU),Conductivity (µS/cm),0.03,0.68
Phosphate (mg/L),Conductivity (µS/cm),-0.05,0.44
"Nitrate, Mid-Range (mg/L)",Conductivity (µS/cm),0.1,0.11
"Nitrate, High-Range (mg/L)",Conductivity (µS/cm),-0.08,0.22
Alkalinity (mg/L CaCO3),Conductivity (µS/cm),0,0.98
Silica (mg/L),Conductivity (µS/cm),-0.09,0.22
Iron (mg/L),Conductivity (µS/cm),-0.07,0.28
Ammonia (mg/L),Conductivity (µS/cm),-0.55,0.08
Temperature (ºF),Conductivity (µS/cm),0.66,0
Temperature (ºC),Conductivity (µS/cm),0.58,0
pH (mV),Conductivity (µS/cm),-0.22,0.01
Salinity (PSU),Conductivity (µS/cm),0.8,0
Turbidity (RFU),"Conductivity, Non-Linear Function (µS/cm)",0.04,0.65
Phosphate (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.05,0.54
"Nitrate, Mid-Range (mg/L)","Conductivity, Non-Linear Function (µS/cm)",-0.05,0.58
"Nitrate, High-Range (mg/L)","Conductivity, Non-Linear Function (µS/cm)",-0.06,0.49
Alkalinity (mg/L CaCO3),"Conductivity, Non-Linear Function (µS/cm)",0.04,0.64
Silica (mg/L),"Conductivity, Non-Linear Function (µS/cm)",0.05,0.55
Iron (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.14,0.11
Ammonia (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.47,0.1
Temperature (ºF),"Conductivity, Non-Linear Function (µS/cm)",-0.08,0.33
Temperature (ºC),"Conductivity, Non-Linear Function (µS/cm)",-0.08,0.34
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.28,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",0.8,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.99,0
Turbidity (RFU),"Conductivity, Specific (µS/cm)",0.04,0.6
Phosphate (mg/L),"Conductivity, Specific (µS/cm)",-0.04,0.65
"Nitrate, Mid-Range (mg/L)","Conductivity, Specific (µS/cm)",-0.04,0.62
"Nitrate, High-Range (mg/L)","Conductivity, Specific (µS/cm)",-0.05,0.53
Alkalinity (mg/L CaCO3),"Conductivity, Specific (µS/cm)",0.05,0.55
Silica (mg/L),"Conductivity, Specific (µS/cm)",0.07,0.43
Iron (mg/L),"Conductivity, Specific (µS/cm)",-0.13,0.14
Ammonia (mg/L),"Conductivity, Specific (µS/cm)",-0.56,0.05
Temperature (ºF),"Conductivity, Specific (µS/cm)",-0.12,0.15
Temperature (ºC),"Conductivity, Specific (µS/cm)",-0.12,0.16
pH (mV),"Conductivity, Specific (µS/cm)",-0.3,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.8,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.99,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",1,0
Turbidity (RFU),Dissolved Oxygen (mg/L),-0.06,0.42
Phosphate (mg/L),Dissolved Oxygen (mg/L),-0.02,0.79
"Nitrate, Mid-Range (mg/L)",Dissolved Oxygen (mg/L),-0.11,0.15
"Nitrate, High-Range (mg/L)",Dissolved Oxygen (mg/L),-0.03,0.69
Alkalinity (mg/L CaCO3),Dissolved Oxygen (mg/L),0.09,0.23
Silica (mg/L),Dissolved Oxygen (mg/L),-0.04,0.58
Iron (mg/L),Dissolved Oxygen (mg/L),-0.11,0.16
Ammonia (mg/L),Dissolved Oxygen (mg/L),0.27,0.38
Temperature (ºF),Dissolved Oxygen (mg/L),-0.14,0.06
Temperature (ºC),Dissolved Oxygen (mg/L),-0.14,0.07
pH (mV),Dissolved Oxygen (mg/L),0.13,0.09
Salinity (PSU),Dissolved Oxygen (mg/L),-0.2,0.04
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0.23,0.01
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.26,0
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.26,0
Turbidity (RFU),"Dissolved Oxygen, Saturated (%)",0.02,0.68
Phosphate (mg/L),"Dissolved Oxygen, Saturated (%)",-0.2,0
"Nitrate, Mid-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.42,0
"Nitrate, High-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.2,0
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Saturated (%)",0.16,0.01
Silica (mg/L),"Dissolved Oxygen, Saturated (%)",0.01,0.93
Iron (mg/L),"Dissolved Oxygen, Saturated (%)",-0.15,0.02
Ammonia (mg/L),"Dissolved Oxygen, Saturated (%)",0.26,0.4
Temperature (ºF),"Dissolved Oxygen, Saturated (%)",-0.31,0
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.37,0
pH (mV),"Dissolved Oxygen, Saturated (%)",0,0.98
Salinity (PSU),"Dissolved Oxygen, Saturated (%)",-0.04,0.6
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.08,0.2
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Saturated (%)",0.05,0.57
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Saturated (%)",0.04,0.62
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.95,0
Turbidity (RFU),"Dissolved Oxygen, Local (%)",0.01,0.91
Phosphate (mg/L),"Dissolved Oxygen, Local (%)",0.17,0.03
"Nitrate, Mid-Range (mg/L)","Dissolved Oxygen, Local (%)",0.08,0.28
"Nitrate, High-Range (mg/L)","Dissolved Oxygen, Local (%)",0.03,0.66
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Local (%)",0.21,0
Silica (mg/L),"Dissolved Oxygen, Local (%)",0.1,0.22
Iron (mg/L),"Dissolved Oxygen, Local (%)",-0.21,0.01
Ammonia (mg/L),"Dissolved Oxygen, Local (%)",0.25,0.41
Temperature (ºF),"Dissolved Oxygen, Local (%)",-0.17,0.02
Temperature (ºC),"Dissolved Oxygen, Local (%)",-0.22,0
pH (mV),"Dissolved Oxygen, Local (%)",-0.29,0
Salinity (PSU),"Dissolved Oxygen, Local (%)",-0.01,0.91
Conductivity (µS/cm),"Dissolved Oxygen, Local (%)",0.07,0.4
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Local (%)",0.04,0.64
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Local (%)",0.04,0.66
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.34,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.5,0
Turbidity (RFU),Oxygen Reduction Potential (mV),0.03,0.62
Phosphate (mg/L),Oxygen Reduction Potential (mV),-0.32,0
"Nitrate, Mid-Range (mg/L)",Oxygen Reduction Potential (mV),-0.38,0
"Nitrate, High-Range (mg/L)",Oxygen Reduction Potential (mV),-0.2,0
Alkalinity (mg/L CaCO3),Oxygen Reduction Potential (mV),0.06,0.35
Silica (mg/L),Oxygen Reduction Potential (mV),-0.49,0
Iron (mg/L),Oxygen Reduction Potential (mV),-0.36,0
Ammonia (mg/L),Oxygen Reduction Potential (mV),0.05,0.86
Temperature (ºF),Oxygen Reduction Potential (mV),-0.6,0
Temperature (ºC),Oxygen Reduction Potential (mV),-0.47,0
pH (mV),Oxygen Reduction Potential (mV),0.09,0.24
Salinity (PSU),Oxygen Reduction Potential (mV),0.15,0.02
Conductivity (µS/cm),Oxygen Reduction Potential (mV),-0.02,0.75
"Conductivity, Non-Linear Function (µS/cm)",Oxygen Reduction Potential (mV),-0.11,0.16
"Conductivity, Specific (µS/cm)",Oxygen Reduction Potential (mV),-0.12,0.16
Dissolved Oxygen (mg/L),Oxygen Reduction Potential (mV),-0.03,0.66
"Dissolved Oxygen, Saturated (%)",Oxygen Reduction Potential (mV),0.21,0
"Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),-0.01,0.89
Turbidity (RFU),Chlorophyll (RFU),0.02,0.86
Phosphate (mg/L),Chlorophyll (RFU),0,0.99
"Nitrate, Mid-Range (mg/L)",Chlorophyll (RFU),0.1,0.25
"Nitrate, High-Range (mg/L)",Chlorophyll (RFU),0.07,0.38
Alkalinity (mg/L CaCO3),Chlorophyll (RFU),0.01,0.89
Silica (mg/L),Chlorophyll (RFU),-0,0.97
Iron (mg/L),Chlorophyll (RFU),-0.17,0.05
Ammonia (mg/L),Chlorophyll (RFU),-0.53,0.12
Temperature (ºF),Chlorophyll (RFU),-0,0.98
Temperature (ºC),Chlorophyll (RFU),-0.03,0.75
pH (mV),Chlorophyll (RFU),0.17,0.03
Salinity (PSU),Chlorophyll (RFU),-0.08,0.47
Conductivity (µS/cm),Chlorophyll (RFU),0.07,0.5
"Conductivity, Non-Linear Function (µS/cm)",Chlorophyll (RFU),-0.03,0.7
"Conductivity, Specific (µS/cm)",Chlorophyll (RFU),-0.04,0.69
Dissolved Oxygen (mg/L),Chlorophyll (RFU),0.11,0.18
"Dissolved Oxygen, Saturated (%)",Chlorophyll (RFU),0.17,0.03
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.33,0
Oxygen Reduction Potential (mV),Chlorophyll (RFU),0.08,0.35
Turbidity (RFU),Total Algae (RFU),-0.03,0.76
Phosphate (mg/L),Total Algae (RFU),0.02,0.78
"Nitrate, Mid-Range (mg/L)",Total Algae (RFU),-0.09,0.25
"Nitrate, High-Range (mg/L)",Total Algae (RFU),-0.12,0.13
Alkalinity (mg/L CaCO3),Total Algae (RFU),-0.14,0.13
Silica (mg/L),Total Algae (RFU),0.24,0.01
Iron (mg/L),Total Algae (RFU),-0.01,0.92
Ammonia (mg/L),Total Algae (RFU),-0.37,0.29
Temperature (ºF),Total Algae (RFU),-0.01,0.88
Temperature (ºC),Total Algae (RFU),-0.02,0.83
pH (mV),Total Algae (RFU),0.39,0
Salinity (PSU),Total Algae (RFU),-0.07,0.43
Conductivity (µS/cm),Total Algae (RFU),-0.05,0.58
"Conductivity, Non-Linear Function (µS/cm)",Total Algae (RFU),-0.09,0.35
"Conductivity, Specific (µS/cm)",Total Algae (RFU),-0.09,0.33
Dissolved Oxygen (mg/L),Total Algae (RFU),-0.16,0.07
"Dissolved Oxygen, Saturated (%)",Total Algae (RFU),-0.22,0.01
"Dissolved Oxygen, Local (%)",Total Algae (RFU),-0.15,0.09
Oxygen Reduction Potential (mV),Total Algae (RFU),0.08,0.3
Chlorophyll (RFU),Total Algae (RFU),0.46,0
Turbidity (RFU),Total Dissolved Solids (mg/L),0.04,0.61
Phosphate (mg/L),Total Dissolved Solids (mg/L),-0.02,0.84
"Nitrate, Mid-Range (mg/L)",Total Dissolved Solids (mg/L),0.07,0.44
"Nitrate, High-Range (mg/L)",Total Dissolved Solids (mg/L),0.02,0.78
Alkalinity (mg/L CaCO3),Total Dissolved Solids (mg/L),0.13,0.12
Silica (mg/L),Total Dissolved Solids (mg/L),0.08,0.34
Iron (mg/L),Total Dissolved Solids (mg/L),-0.22,0.01
Ammonia (mg/L),Total Dissolved Solids (mg/L),-0.4,0.23
Temperature (ºF),Total Dissolved Solids (mg/L),-0.04,0.62
Temperature (ºC),Total Dissolved Solids (mg/L),-0.04,0.63
pH (mV),Total Dissolved Solids (mg/L),-0.34,0
Salinity (PSU),Total Dissolved Solids (mg/L),0.79,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.99,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),0.99,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),0.99,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.38,0
"Dissolved Oxygen, Saturated (%)",Total Dissolved Solids (mg/L),-0.03,0.74
"Dissolved Oxygen, Local (%)",Total Dissolved Solids (mg/L),-0.03,0.71
Oxygen Reduction Potential (mV),Total Dissolved Solids (mg/L),-0.02,0.77
Chlorophyll (RFU),Total Dissolved Solids (mg/L),-0.06,0.51
Total Algae (RFU),Total Dissolved Solids (mg/L),-0.07,0.47
