Serial Number:20895591 --

"Date Time, GMT -0700","Temp, (*F)","mV","pH","Button Down","Button Up","Host Connect","Start Calibration","Calibration Values","Calibration Buffers","End Calibration","Cancel Calibration","EOF"
2021-09-22 07:15:00,76.79,-70.27,8.11, , , , , , , , , 
2021-09-22 07:30:00,76.79,-70.33,8.11, , , , , , , , , 
2021-09-22 07:45:00,76.83,-70.42,8.11, , , , , , , , , 
2021-09-22 08:00:00,76.83,-70.60,8.11, , , , , , , , , 
2021-09-22 08:15:00,76.92,-70.56,8.11, , , , , , , , , 
2021-09-22 08:30:00,76.96,-70.69,8.11, , , , , , , , , 
2021-09-22 08:45:00,77.01,-71.11,8.12, , , , , , , , , 
2021-09-22 09:00:00,77.05,-71.47,8.13, , , , , , , , , 
2021-09-22 09:15:00,77.09,-72.11,8.14, , , , , , , , , 
2021-09-22 09:30:00,77.18,-72.55,8.14, , , , , , , , , 
2021-09-22 09:45:00,77.23,-72.85,8.15, , , , , , , , , 
2021-09-22 10:00:00,77.31,-73.14,8.15, , , , , , , , , 
2021-09-22 10:15:00,77.36,-73.35,8.16, , , , , , , , , 
2021-09-22 10:30:00,77.40,-72.64,8.15, , , , , , , , , 
2021-09-22 10:45:00,77.44,-72.22,8.14, , , , , , , , , 
2021-09-22 11:00:00,77.53,-73.17,8.15, , , , , , , , , 
2021-09-22 11:15:00,77.57,-73.31,8.16, , , , , , , , , 
2021-09-22 11:30:00,77.62,-73.10,8.15, , , , , , , , , 
2021-09-22 11:45:00,77.62,-73.71,8.16, , , , , , , , , 
2021-09-22 12:00:00,77.62,-73.02,8.15, , , , , , , , , 
2021-09-22 12:15:00,77.62,-73.39,8.16, , , , , , , , , 
2021-09-22 12:30:00,77.57,-72.52,8.14, , , , , , , , , 
2021-09-22 12:45:00,77.57,-73.10,8.15, , , , , , , , , 
2021-09-22 13:00:00,77.62,-73.96,8.17, , , , , , , , , 
2021-09-22 13:15:00,77.57,-73.10,8.15, , , , , , , , , 
2021-09-22 13:30:00,77.57,-73.97,8.17, , , , , , , , , 
2021-09-22 13:45:00,77.57,-73.97,8.17, , , , , , , , , 
2021-09-22 14:00:00,77.53,-73.94,8.17, , , , , , , , , 
2021-09-22 14:15:00,77.49,-73.81,8.17, , , , , , , , , 
2021-09-22 14:30:00,77.49,-73.91,8.17, , , , , , , , , 
2021-09-22 14:45:00,77.44,-73.28,8.16, , , , , , , , , 
2021-09-22 15:00:00,77.44,-73.71,8.16, , , , , , , , , 
2021-09-22 15:15:00,77.40,-73.63,8.16, , , , , , , , , 
2021-09-22 15:30:00,77.40,-73.06,8.15, , , , , , , , , 
2021-09-22 15:45:00,77.36,-73.16,8.16, , , , , , , , , 
2021-09-22 16:00:00,77.31,-72.92,8.15, , , , , , , , , 
2021-09-22 16:15:00,77.31,-73.05,8.15, , , , , , , , , 
2021-09-22 16:30:00,77.31,-72.74,8.15, , , , , , , , , 
2021-09-22 16:45:00,77.27,-72.42,8.14, , , , , , , , , 
2021-09-22 17:00:00,77.27,-72.38,8.14, , , , , , , , , 
2021-09-22 17:15:00,77.23,-72.05,8.14, , , , , , , , , 
2021-09-22 17:30:00,77.23,-71.85,8.13, , , , , , , , , 
2021-09-22 17:45:00,77.18,-71.64,8.13, , , , , , , , , 
2021-09-22 18:00:00,77.18,-71.21,8.12, , , , , , , , , 
2021-09-22 18:15:00,77.18,-71.03,8.12, , , , , , , , , 
2021-09-22 18:30:00,77.18,-70.91,8.12, , , , , , , , , 
2021-09-22 18:45:00,77.18,-70.53,8.11, , , , , , , , , 
2021-09-22 19:00:00,77.18,-70.55,8.11, , , , , , , , , 
2021-09-22 19:15:00,77.14,-70.16,8.10, , , , , , , , , 
2021-09-22 19:30:00,77.14,-70.31,8.11, , , , , , , , , 
2021-09-22 19:45:00,77.14,-70.17,8.10, , , , , , , , , 
2021-09-22 20:00:00,77.14,-69.99,8.10, , , , , , , , , 
2021-09-22 20:15:00,77.14,-69.85,8.10, , , , , , , , , 
2021-09-22 20:30:00,77.09,-69.63,8.09, , , , , , , , , 
2021-09-22 20:45:00,77.09,-69.49,8.09, , , , , , , , , 
2021-09-22 21:00:00,77.09,-69.46,8.09, , , , , , , , , 
2021-09-22 21:15:00,77.09,-69.35,8.09, , , , , , , , , 
2021-09-22 21:30:00,77.09,-69.19,8.09, , , , , , , , , 
2021-09-22 21:45:00,77.09,-69.13,8.09, , , , , , , , , 
2021-09-22 22:00:00,77.09,-69.02,8.08, , , , , , , , , 
2021-09-22 22:15:00,77.09,-68.94,8.08, , , , , , , , , 
2021-09-22 22:30:00,77.05,-68.81,8.08, , , , , , , , , 
2021-09-22 22:45:00,77.05,-68.69,8.08, , , , , , , , , 
2021-09-22 23:00:00,77.05,-68.63,8.08, , , , , , , , , 
2021-09-22 23:15:00,77.05,-68.52,8.08, , , , , , , , , 
2021-09-22 23:30:00,77.05,-68.47,8.07, , , , , , , , , 
2021-09-22 23:45:00,77.05,-68.33,8.07, , , , , , , , , 
2021-09-23 00:00:00,77.05,-68.30,8.07, , , , , , , , , 
2021-09-23 00:15:00,77.05,-68.24,8.07, , , , , , , , , 
2021-09-23 00:30:00,77.01,-68.11,8.07, , , , , , , , , 
2021-09-23 00:45:00,77.01,-68.03,8.07, , , , , , , , , 
2021-09-23 01:00:00,77.01,-67.97,8.07, , , , , , , , , 
2021-09-23 01:15:00,77.01,-67.91,8.06, , , , , , , , , 
2021-09-23 01:30:00,77.01,-67.81,8.06, , , , , , , , , 
2021-09-23 01:45:00,77.01,-67.69,8.06, , , , , , , , , 
2021-09-23 02:00:00,77.01,-67.72,8.06, , , , , , , , , 
2021-09-23 02:15:00,76.96,-67.55,8.06, , , , , , , , , 
2021-09-23 02:30:00,76.96,-67.46,8.06, , , , , , , , , 
2021-09-23 02:45:00,76.96,-67.44,8.06, , , , , , , , , 
2021-09-23 03:00:00,76.96,-67.30,8.05, , , , , , , , , 
2021-09-23 03:15:00,76.92,-67.25,8.05, , , , , , , , , 
2021-09-23 03:30:00,76.92,-67.22,8.05, , , , , , , , , 
2021-09-23 03:45:00,76.92,-67.14,8.05, , , , , , , , , 
2021-09-23 04:00:00,76.92,-67.05,8.05, , , , , , , , , 
2021-09-23 04:15:00,76.92,-66.92,8.05, , , , , , , , , 
2021-09-23 04:30:00,76.92,-66.89,8.05, , , , , , , , , 
2021-09-23 04:45:00,76.92,-66.88,8.05, , , , , , , , , 
2021-09-23 05:00:00,76.92,-66.78,8.05, , , , , , , , , 
2021-09-23 05:15:00,76.88,-66.74,8.04, , , , , , , , , 
2021-09-23 05:30:00,76.88,-66.64,8.04, , , , , , , , , 
2021-09-23 05:45:00,76.88,-66.55,8.04, , , , , , , , , 
2021-09-23 06:00:00,76.88,-66.55,8.04, , , , , , , , , 
2021-09-23 06:15:00,76.83,-66.42,8.04, , , , , , , , , 
2021-09-23 06:30:00,76.88,-66.46,8.04, , , , , , , , , 
2021-09-23 06:45:00,76.83,-66.35,8.04, , , , , , , , , 
2021-09-23 07:00:00,76.83,-66.22,8.04, , , , , , , , , 
2021-09-23 07:15:00,76.83,-66.21,8.04, , , , , , , , , 
2021-09-23 07:30:00,76.83,-66.17,8.03, , , , , , , , , 
2021-09-23 07:45:00,76.83,-66.13,8.03, , , , , , , , , 
2021-09-23 08:00:00,76.83,-66.10,8.03, , , , , , , , , 
2021-09-23 08:15:00,76.83,-66.06,8.03, , , , , , , , , 
2021-09-23 08:30:00,76.88,-66.11,8.03, , , , , , , , , 
2021-09-23 08:45:00,76.88,-66.08,8.03, , , , , , , , , 
2021-09-23 09:00:00,76.88,-66.00,8.03, , , , , , , , , 
2021-09-23 09:15:00,76.88,-65.99,8.03, , , , , , , , , 
2021-09-23 09:30:00,76.88,-65.92,8.03, , , , , , , , , 
2021-09-23 09:45:00,76.88,-65.91,8.03, , , , , , , , , 
2021-09-23 10:00:00,76.92,-65.94,8.03, , , , , , , , , 
2021-09-23 10:15:00,76.88,-66.02,8.03, , , , , , , , , 
2021-09-23 10:30:00,76.92,-65.94,8.03, , , , , , , , , 
2021-09-23 10:45:00,76.92,-65.94,8.03, , , , , , , , , 
2021-09-23 11:00:00,76.92,-65.96,8.03, , , , , , , , , 
2021-09-23 11:15:00,76.92,-66.00,8.03, , , , , , , , , 
2021-09-23 11:30:00,76.92,-66.00,8.03, , , , , , , , , 
2021-09-23 11:45:00,76.92,-65.96,8.03, , , , , , , , , 
2021-09-23 12:00:00,76.92,-66.08,8.03, , , , , , , , , 
2021-09-23 12:15:00,76.96,-65.94,8.03, , , , , , , , , 
2021-09-23 12:30:00,76.92,-66.02,8.03, , , , , , , , , 
2021-09-23 12:45:00,76.92,-66.03,8.03, , , , , , , , , 
2021-09-23 13:00:00,76.92,-66.06,8.03, , , , , , , , , 
2021-09-23 13:15:00,76.92,-65.85,8.03, , , , , , , , , 
2021-09-23 13:30:00,76.92,-65.96,8.03, , , , , , , , , 
2021-09-23 13:45:00,76.92,-65.83,8.03, , , , , , , , , 
2021-09-23 14:00:00,76.92,-65.97,8.03, , , , , , , , , 
2021-09-23 14:15:00,76.88,-65.85,8.03, , , , , , , , , 
2021-09-23 14:30:00,76.88,-65.89,8.03, , , , , , , , , 
2021-09-23 14:45:00,76.92,-66.02,8.03, , , , , , , , , 
2021-09-23 15:00:00,76.92,-65.80,8.03, , , , , , , , , 
2021-09-23 15:15:00,76.92,-65.89,8.03, , , , , , , , , 
2021-09-23 15:30:00,76.92,-66.02,8.03, , , , , , , , , 
2021-09-23 15:45:00,76.88,-65.94,8.03, , , , , , , , , 
2021-09-23 16:00:00,76.88,-66.03,8.03, , , , , , , , , 
2021-09-23 16:15:00,76.88,-66.10,8.03, , , , , , , , , 
2021-09-23 16:30:00,76.88,-66.21,8.04, , , , , , , , , 
2021-09-23 16:45:00,76.83,-66.13,8.03, , , , , , , , , 
2021-09-23 17:00:00,76.88,-65.97,8.03, , , , , , , , , 
2021-09-23 17:15:00,76.92,-65.80,8.03, , , , , , , , , 
2021-09-23 17:30:00,76.88,-65.85,8.03, , , , , , , , , 
2021-09-23 17:45:00,76.88,-65.69,8.03, , , , , , , , , 
2021-09-23 18:00:00,76.88,-65.60,8.02, , , , , , , , , 
2021-09-23 18:15:00,76.88,-65.50,8.02, , , , , , , , , 
2021-09-23 18:30:00,76.88,-65.39,8.02, , , , , , , , , 
2021-09-23 18:45:00,76.88,-65.28,8.02, , , , , , , , , 
2021-09-23 19:00:00,76.88,-65.24,8.02, , , , , , , , , 
2021-09-23 19:15:00,76.88,-65.10,8.02, , , , , , , , , 
2021-09-23 19:30:00,76.88,-64.97,8.01, , , , , , , , , 
2021-09-23 19:45:00,76.88,-64.88,8.01, , , , , , , , , 
2021-09-23 20:00:00,76.83,-64.78,8.01, , , , , , , , , 
2021-09-23 20:15:00,76.88,-64.74,8.01, , , , , , , , , 
2021-09-23 20:30:00,76.83,-64.67,8.01, , , , , , , , , 
2021-09-23 20:45:00,76.83,-64.60,8.01, , , , , , , , , 
2021-09-23 21:00:00,76.83,-64.55,8.01, , , , , , , , , 
2021-09-23 21:15:00,76.83,-64.50,8.01, , , , , , , , , 
2021-09-23 21:30:00,76.83,-64.44,8.00, , , , , , , , , 
2021-09-23 21:45:00,76.83,-64.38,8.00, , , , , , , , , 
2021-09-23 22:00:00,76.83,-64.22,8.00, , , , , , , , , 
2021-09-23 22:15:00,76.83,-64.25,8.00, , , , , , , , , 
2021-09-23 22:30:00,76.83,-64.16,8.00, , , , , , , , , 
2021-09-23 22:45:00,76.83,-64.06,8.00, , , , , , , , , 
2021-09-23 23:00:00,76.83,-64.02,8.00, , , , , , , , , 
2021-09-23 23:15:00,76.83,-63.91,8.00, , , , , , , , , 
2021-09-23 23:30:00,76.83,-63.92,8.00, , , , , , , , , 
2021-09-23 23:45:00,76.83,-63.86,7.99, , , , , , , , , 
2021-09-24 00:00:00,76.83,-63.83,7.99, , , , , , , , , 
2021-09-24 00:15:00,76.83,-63.74,7.99, , , , , , , , , 
2021-09-24 00:30:00,76.83,-63.67,7.99, , , , , , , , , 
2021-09-24 00:45:00,76.83,-63.69,7.99, , , , , , , , , 
2021-09-24 01:00:00,76.83,-63.58,7.99, , , , , , , , , 
2021-09-24 01:15:00,76.83,-63.55,7.99, , , , , , , , , 
2021-09-24 01:30:00,76.83,-63.44,7.99, , , , , , , , , 
2021-09-24 01:45:00,76.83,-63.41,7.99, , , , , , , , , 
2021-09-24 02:00:00,76.83,-63.31,7.99, , , , , , , , , 
2021-09-24 02:15:00,76.83,-63.27,7.98, , , , , , , , , 
2021-09-24 02:30:00,76.83,-63.17,7.98, , , , , , , , , 
2021-09-24 02:45:00,76.83,-63.06,7.98, , , , , , , , , 
2021-09-24 03:00:00,76.83,-63.14,7.98, , , , , , , , , 
2021-09-24 03:15:00,76.83,-63.11,7.98, , , , , , , , , 
2021-09-24 03:30:00,76.79,-62.92,7.98, , , , , , , , , 
2021-09-24 03:45:00,76.83,-62.94,7.98, , , , , , , , , 
2021-09-24 04:00:00,76.83,-62.91,7.98, , , , , , , , , 
2021-09-24 04:15:00,76.79,-62.83,7.98, , , , , , , , , 
2021-09-24 04:30:00,76.79,-62.72,7.98, , , , , , , , , 
2021-09-24 04:45:00,76.83,-62.88,7.98, , , , , , , , , 
2021-09-24 05:00:00,76.79,-62.75,7.98, , , , , , , , , 
2021-09-24 05:15:00,76.79,-62.74,7.98, , , , , , , , , 
2021-09-24 05:30:00,76.79,-62.66,7.97, , , , , , , , , 
2021-09-24 05:45:00,76.75,-62.60,7.97, , , , , , , , , 
2021-09-24 06:00:00,76.75,-62.55,7.97, , , , , , , , , 
2021-09-24 06:15:00,76.79,-62.53,7.97, , , , , , , , , 
2021-09-24 06:30:00,76.75,-62.50,7.97, , , , , , , , , 
2021-09-24 06:45:00,76.83,-62.53,7.97, , , , , , , , , 
2021-09-24 07:00:00,76.83,-62.49,7.97, , , , , , , , , 
2021-09-24 07:15:00,76.79,-62.50,7.97, , , , , , , , , 
2021-09-24 07:30:00,76.79,-62.56,7.97, , , , , , , , , 
2021-09-24 07:45:00,76.83,-62.61,7.97, , , , , , , , , 
2021-09-24 08:00:00,76.88,-62.66,7.97, , , , , , , , , 
2021-09-24 08:15:00,76.92,-62.99,7.98, , , , , , , , , 
2021-09-24 08:30:00,76.92,-63.14,7.98, , , , , , , , , 
2021-09-24 08:45:00,76.96,-63.28,7.98, , , , , , , , , 
2021-09-24 09:00:00,77.01,-63.33,7.99, , , , , , , , , 
2021-09-24 09:15:00,77.09,-63.47,7.99, , , , , , , , , 
2021-09-24 09:30:00,77.14,-64.97,8.01, , , , , , , , , 
2021-09-24 09:45:00,77.18,-65.80,8.03, , , , , , , , , 
2021-09-24 10:00:00,77.23,-66.10,8.03, , , , , , , , , 
2021-09-24 10:15:00,77.23,-66.06,8.03, , , , , , , , , 
2021-09-24 10:30:00,77.27,-65.88,8.03, , , , , , , , , 
2021-09-24 10:45:00,77.31,-65.85,8.03, , , , , , , , , 
2021-09-24 11:00:00,77.36,-67.00,8.05, , , , , , , , , 
2021-09-24 11:15:00,77.36,-66.56,8.04, , , , , , , , , 
2021-09-24 11:30:00,77.36,-66.75,8.04, , , , , , , , , 
2021-09-24 11:45:00,77.36,-66.55,8.04, , , , , , , , , 
2021-09-24 12:00:00,77.31,-65.94,8.03, , , , , , , , , 
2021-09-24 12:15:00,77.31,-66.36,8.04, , , , , , , , , 
2021-09-24 12:30:00,77.36,-67.42,8.06, , , , , , , , , 
2021-09-24 12:45:00,77.36,-66.58,8.04, , , , , , , , , 
2021-09-24 13:00:00,77.40,-66.31,8.04, , , , , , , , , 
2021-09-24 13:15:00,77.49,-67.19,8.05, , , , , , , , , 
2021-09-24 13:30:00,77.44,-66.41,8.04, , , , , , , , , 
2021-09-24 13:45:00,77.49,-67.13,8.05, , , , , , , , , 
2021-09-24 14:00:00,77.49,-66.99,8.05, , , , , , , , , 
2021-09-24 14:15:00,77.49,-66.88,8.05, , , , , , , , , 
2021-09-24 14:30:00,77.44,-66.50,8.04, , , , , , , , , 
2021-09-24 14:45:00,77.44,-66.03,8.03, , , , , , , , , 
2021-09-24 15:00:00,77.44,-66.86,8.05, , , , , , , , , 
2021-09-24 15:15:00,77.44,-66.74,8.04, , , , , , , , , 
2021-09-24 15:30:00,77.44,-66.75,8.04, , , , , , , , , 
2021-09-24 15:45:00,77.40,-66.66,8.04, , , , , , , , , 
2021-09-24 16:00:00,77.36,-65.81,8.03, , , , , , , , , 
2021-09-24 16:15:00,77.36,-66.44,8.04, , , , , , , , , 
2021-09-24 16:30:00,77.31,-66.11,8.03, , , , , , , , , 
2021-09-24 16:45:00,77.31,-65.97,8.03, , , , , , , , , 
2021-09-24 17:00:00,77.27,-65.96,8.03, , , , , , , , , 
2021-09-24 17:15:00,77.27,-65.46,8.02, , , , , , , , , 
2021-09-24 17:30:00,77.27,-65.52,8.02, , , , , , , , , 
2021-09-24 17:45:00,77.23,-65.39,8.02, , , , , , , , , 
2021-09-24 18:00:00,77.23,-64.97,8.01, , , , , , , , , 
2021-09-24 18:15:00,77.23,-64.66,8.01, , , , , , , , , 
2021-09-24 18:30:00,77.18,-64.14,8.00, , , , , , , , , 
2021-09-24 18:45:00,77.18,-64.39,8.00, , , , , , , , , 
2021-09-24 19:00:00,77.18,-64.16,8.00, , , , , , , , , 
2021-09-24 19:15:00,77.14,-63.67,7.99, , , , , , , , , 
2021-09-24 19:30:00,77.18,-64.00,8.00, , , , , , , , , 
2021-09-24 19:45:00,77.14,-63.69,7.99, , , , , , , , , 
2021-09-24 20:00:00,77.14,-63.53,7.99, , , , , , , , , 
2021-09-24 20:15:00,77.14,-63.56,7.99, , , , , , , , , 
2021-09-24 20:30:00,77.09,-63.38,7.99, , , , , , , , , 
2021-09-24 20:45:00,77.09,-63.19,7.98, , , , , , , , , 
2021-09-24 21:00:00,77.09,-63.17,7.98, , , , , , , , , 
2021-09-24 21:15:00,77.09,-63.08,7.98, , , , , , , , , 
2021-09-24 21:30:00,77.05,-62.92,7.98, , , , , , , , , 
2021-09-24 21:45:00,77.05,-62.89,7.98, , , , , , , , , 
2021-09-24 22:00:00,77.05,-62.85,7.98, , , , , , , , , 
2021-09-24 22:15:00,77.05,-62.75,7.98, , , , , , , , , 
2021-09-24 22:30:00,77.01,-62.67,7.97, , , , , , , , , 
2021-09-24 22:45:00,77.01,-62.58,7.97, , , , , , , , , 
2021-09-24 23:00:00,77.01,-62.49,7.97, , , , , , , , , 
2021-09-24 23:15:00,77.01,-62.42,7.97, , , , , , , , , 
2021-09-24 23:30:00,76.96,-62.47,7.97, , , , , , , , , 
2021-09-24 23:45:00,76.96,-62.33,7.97, , , , , , , , , 
2021-09-25 00:00:00,76.96,-62.24,7.97, , , , , , , , , 
2021-09-25 00:15:00,76.96,-62.17,7.97, , , , , , , , , 
2021-09-25 00:30:00,76.92,-62.17,7.97, , , , , , , , , 
2021-09-25 00:45:00,76.92,-62.06,7.96, , , , , , , , , 
2021-09-25 01:00:00,76.92,-62.10,7.96, , , , , , , , , 
2021-09-25 01:15:00,76.92,-62.05,7.96, , , , , , , , , 
2021-09-25 01:30:00,76.92,-61.91,7.96, , , , , , , , , 
2021-09-25 01:45:00,76.92,-61.96,7.96, , , , , , , , , 
2021-09-25 02:00:00,76.92,-61.94,7.96, , , , , , , , , 
2021-09-25 02:15:00,76.88,-61.91,7.96, , , , , , , , , 
2021-09-25 02:30:00,76.88,-61.78,7.96, , , , , , , , , 
2021-09-25 02:45:00,76.88,-61.75,7.96, , , , , , , , , 
2021-09-25 03:00:00,76.88,-61.72,7.96, , , , , , , , , 
2021-09-25 03:15:00,76.88,-61.66,7.96, , , , , , , , , 
2021-09-25 03:30:00,76.88,-61.64,7.96, , , , , , , , , 
2021-09-25 03:45:00,76.88,-61.53,7.95, , , , , , , , , 
2021-09-25 04:00:00,76.88,-61.49,7.95, , , , , , , , , 
2021-09-25 04:15:00,76.88,-61.39,7.95, , , , , , , , , 
2021-09-25 04:30:00,76.83,-61.41,7.95, , , , , , , , , 
2021-09-25 04:45:00,76.88,-61.42,7.95, , , , , , , , , 
2021-09-25 05:00:00,76.83,-61.36,7.95, , , , , , , , , 
2021-09-25 05:15:00,76.83,-61.31,7.95, , , , , , , , , 
2021-09-25 05:30:00,76.83,-61.25,7.95, , , , , , , , , 
2021-09-25 05:45:00,76.83,-61.22,7.95, , , , , , , , , 
2021-09-25 06:00:00,76.83,-61.25,7.95, , , , , , , , , 
2021-09-25 06:15:00,76.83,-61.17,7.95, , , , , , , , , 
2021-09-25 06:30:00,76.83,-61.11,7.95, , , , , , , , , 
2021-09-25 06:45:00,76.83,-61.06,7.95, , , , , , , , , 
2021-09-25 07:00:00,76.83,-61.06,7.95, , , , , , , , , 
2021-09-25 07:15:00,76.79,-61.03,7.95, , , , , , , , , 
2021-09-25 07:30:00,76.79,-61.02,7.95, , , , , , , , , 
2021-09-25 07:45:00,76.79,-61.02,7.95, , , , , , , , , 
2021-09-25 08:00:00,76.79,-61.02,7.95, , , , , , , , , 
2021-09-25 08:15:00,76.79,-61.19,7.95, , , , , , , , , 
2021-09-25 08:30:00,76.83,-61.28,7.95, , , , , , , , , 
2021-09-25 08:45:00,76.88,-61.27,7.95, , , , , , , , , 
2021-09-25 09:00:00,76.88,-61.30,7.95, , , , , , , , , 
2021-09-25 09:15:00,76.92,-61.50,7.95, , , , , , , , , 
2021-09-25 09:30:00,76.96,-62.02,7.96, , , , , , , , , 
2021-09-25 09:45:00,77.09,-62.64,7.97, , , , , , , , , 
2021-09-25 10:00:00,77.18,-62.80,7.98, , , , , , , , , 
2021-09-25 10:15:00,77.18,-63.55,7.99, , , , , , , , , 
2021-09-25 10:30:00,77.27,-64.00,8.00, , , , , , , , , 
2021-09-25 10:45:00,77.31,-64.03,8.00, , , , , , , , , 
2021-09-25 11:00:00,77.40,-64.30,8.00, , , , , , , , , 
2021-09-25 11:15:00,77.40,-64.31,8.00, , , , , , , , , 
2021-09-25 11:30:00,77.44,-64.52,8.01, , , , , , , , , 
2021-09-25 11:45:00,77.49,-64.42,8.00, , , , , , , , , 
2021-09-25 12:00:00,77.49,-64.10,8.00, , , , , , , , , 
2021-09-25 12:15:00,77.49,-64.36,8.00, , , , , , , , , 
2021-09-25 12:30:00,77.49,-63.99,8.00, , , , , , , , , 
2021-09-25 12:45:00,77.49,-64.46,8.00, , , , , , , , , 
2021-09-25 13:00:00,77.49,-64.13,8.00, , , , , , , , , 
2021-09-25 13:15:00,77.44,-63.83,7.99, , , , , , , , , 
2021-09-25 13:30:00,77.49,-64.14,8.00, , , , , , , , , 
