row,column,cor_coeff,p_value
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.99,0
Temperature (ºF),"Dissolved Oxygen, Local (%)",0.08,0
Temperature (ºC),"Dissolved Oxygen, Local (%)",0.09,0
pH,"Dissolved Oxygen, Local (%)",0.16,0
pH (mV),"Dissolved Oxygen, Local (%)",-0.11,0
Salinity (PSU),"Dissolved Oxygen, Local (%)",-0.08,0
Conductivity (µS/cm),"Dissolved Oxygen, Local (%)",0.07,0
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Local (%)",-0.03,0
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Local (%)",-0.02,0
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.98,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.99,0
Temperature (ºF),Oxygen Reduction Potential (mV),-0.6,0
Temperature (ºC),Oxygen Reduction Potential (mV),-0.36,0
pH,Oxygen Reduction Potential (mV),0.52,0
pH (mV),Oxygen Reduction Potential (mV),0.61,0
Salinity (PSU),Oxygen Reduction Potential (mV),0.13,0
Conductivity (µS/cm),Oxygen Reduction Potential (mV),-0.11,0
"Conductivity, Non-Linear Function (µS/cm)",Oxygen Reduction Potential (mV),-0.6,0
"Conductivity, Specific (µS/cm)",Oxygen Reduction Potential (mV),-0.58,0
Dissolved Oxygen (mg/L),Oxygen Reduction Potential (mV),0.22,0
"Dissolved Oxygen, Saturated (%)",Oxygen Reduction Potential (mV),-0.03,0
"Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),0.2,0
Temperature (ºF),Chlorophyll (RFU),-0.2,0
Temperature (ºC),Chlorophyll (RFU),-0.19,0
pH,Chlorophyll (RFU),0.06,0
pH (mV),Chlorophyll (RFU),0.39,0
Salinity (PSU),Chlorophyll (RFU),-0.59,0
Conductivity (µS/cm),Chlorophyll (RFU),-0.54,0
"Conductivity, Non-Linear Function (µS/cm)",Chlorophyll (RFU),-0.48,0
"Conductivity, Specific (µS/cm)",Chlorophyll (RFU),-0.47,0
Dissolved Oxygen (mg/L),Chlorophyll (RFU),0.13,0
"Dissolved Oxygen, Saturated (%)",Chlorophyll (RFU),0.09,0
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.11,0
Oxygen Reduction Potential (mV),Chlorophyll (RFU),0.68,0
Temperature (ºF),Total Algae (RFU),-0.05,0
Temperature (ºC),Total Algae (RFU),-0.04,0
pH,Total Algae (RFU),0.12,0
pH (mV),Total Algae (RFU),0.41,0
Salinity (PSU),Total Algae (RFU),-0.16,0
Conductivity (µS/cm),Total Algae (RFU),-0.11,0
"Conductivity, Non-Linear Function (µS/cm)",Total Algae (RFU),-0.33,0
"Conductivity, Specific (µS/cm)",Total Algae (RFU),-0.31,0
Dissolved Oxygen (mg/L),Total Algae (RFU),0.1,0
"Dissolved Oxygen, Saturated (%)",Total Algae (RFU),0.08,0
"Dissolved Oxygen, Local (%)",Total Algae (RFU),0.09,0
Oxygen Reduction Potential (mV),Total Algae (RFU),0.15,0
Chlorophyll (RFU),Total Algae (RFU),0.88,0
Temperature (ºF),Total Dissolved Solids (mg/L),0.06,0
Temperature (ºC),Total Dissolved Solids (mg/L),0.06,0
pH,Total Dissolved Solids (mg/L),0.02,0
pH (mV),Total Dissolved Solids (mg/L),-0.43,0
Salinity (PSU),Total Dissolved Solids (mg/L),0.88,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.95,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),0.96,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),0.97,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.08,0
"Dissolved Oxygen, Saturated (%)",Total Dissolved Solids (mg/L),-0,0.49
"Dissolved Oxygen, Local (%)",Total Dissolved Solids (mg/L),-0.01,0.01
Oxygen Reduction Potential (mV),Total Dissolved Solids (mg/L),-0.58,0
Chlorophyll (RFU),Total Dissolved Solids (mg/L),-0.53,0
Total Algae (RFU),Total Dissolved Solids (mg/L),-0.35,0
