row,column,cor_coeff,p_value
Ammonia,"Dissolved Oxygen, Saturated (%)",-0.59,0.6
pH (Nutrients),"Dissolved Oxygen, Saturated (%)",0.21,0
Temperature (ºF),"Dissolved Oxygen, Saturated (%)",-0.04,0.65
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.25,0
pH (mV),"Dissolved Oxygen, Saturated (%)",-0.11,0.3
Salinity (PSU),"Dissolved Oxygen, Saturated (%)",-0.07,0.4
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.21,0
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.02,0.86
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.03,0.79
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.85,0
Turbidity,"Dissolved Oxygen, Local (%)",0.08,0.5
Phosphate,"Dissolved Oxygen, Local (%)",0.37,0
Nitrate MR,"Dissolved Oxygen, Local (%)",0.12,0.31
Nitrate HR,"Dissolved Oxygen, Local (%)",0.01,0.91
Alkalinity,"Dissolved Oxygen, Local (%)",-0.03,0.8
Silica,"Dissolved Oxygen, Local (%)",0.1,0.42
Iron,"Dissolved Oxygen, Local (%)",0.11,0.3
Ammonia,"Dissolved Oxygen, Local (%)",-0.81,0.4
pH (Nutrients),"Dissolved Oxygen, Local (%)",0.27,0.01
Temperature (ºF),"Dissolved Oxygen, Local (%)",0.09,0.43
Temperature (ºC),"Dissolved Oxygen, Local (%)",0.09,0.44
pH (mV),"Dissolved Oxygen, Local (%)",-0.07,0.49
Salinity (PSU),"Dissolved Oxygen, Local (%)",-0.2,0.2
Conductivity (µS/cm),"Dissolved Oxygen, Local (%)",-0.17,0.19
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Local (%)",-0.06,0.56
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Local (%)",-0.08,0.47
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.92,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.83,0
Turbidity,Oxygen Reduction Potential (mV),-0.05,0.48
Phosphate,Oxygen Reduction Potential (mV),-0.46,0
Nitrate MR,Oxygen Reduction Potential (mV),-0.25,0
Nitrate HR,Oxygen Reduction Potential (mV),0,0.98
Alkalinity,Oxygen Reduction Potential (mV),0.14,0.06
Silica,Oxygen Reduction Potential (mV),-0.75,0
Iron,Oxygen Reduction Potential (mV),-0.27,0
Ammonia,Oxygen Reduction Potential (mV),-0.99,0.07
pH (Nutrients),Oxygen Reduction Potential (mV),0.67,0
Temperature (ºF),Oxygen Reduction Potential (mV),-0.58,0
Temperature (ºC),Oxygen Reduction Potential (mV),-0.41,0
pH (mV),Oxygen Reduction Potential (mV),0.35,0
Salinity (PSU),Oxygen Reduction Potential (mV),0.05,0.46
Conductivity (µS/cm),Oxygen Reduction Potential (mV),-0.21,0
"Conductivity, Non-Linear Function (µS/cm)",Oxygen Reduction Potential (mV),-0.27,0.01
"Conductivity, Specific (µS/cm)",Oxygen Reduction Potential (mV),-0.27,0.01
Dissolved Oxygen (mg/L),Oxygen Reduction Potential (mV),0.19,0.08
"Dissolved Oxygen, Saturated (%)",Oxygen Reduction Potential (mV),-0.07,0.33
"Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),0.15,0.16
Turbidity,Chlorophyll (RFU),-0.02,0.84
Phosphate,Chlorophyll (RFU),0.22,0.06
Nitrate MR,Chlorophyll (RFU),0.26,0.03
Nitrate HR,Chlorophyll (RFU),0.22,0.07
Alkalinity,Chlorophyll (RFU),0.04,0.7
Silica,Chlorophyll (RFU),0.05,0.71
Iron,Chlorophyll (RFU),-0.2,0.08
Ammonia,Chlorophyll (RFU),-0.87,0.33
pH (Nutrients),Chlorophyll (RFU),0.39,0
Temperature (ºF),Chlorophyll (RFU),-0.17,0.14
Temperature (ºC),Chlorophyll (RFU),-0.17,0.15
pH (mV),Chlorophyll (RFU),0.4,0
Salinity (PSU),Chlorophyll (RFU),-0.5,0
Conductivity (µS/cm),Chlorophyll (RFU),-0.5,0
"Conductivity, Non-Linear Function (µS/cm)",Chlorophyll (RFU),-0.56,0
"Conductivity, Specific (µS/cm)",Chlorophyll (RFU),-0.55,0
Dissolved Oxygen (mg/L),Chlorophyll (RFU),0.34,0
"Dissolved Oxygen, Saturated (%)",Chlorophyll (RFU),0.19,0.1
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.31,0
Oxygen Reduction Potential (mV),Chlorophyll (RFU),0.32,0
Turbidity,Total Algae (RFU),-0.1,0.26
Phosphate,Total Algae (RFU),0.11,0.18
Nitrate MR,Total Algae (RFU),0.25,0
Nitrate HR,Total Algae (RFU),0.1,0.24
Alkalinity,Total Algae (RFU),0.08,0.41
Silica,Total Algae (RFU),0.16,0.11
Iron,Total Algae (RFU),-0.18,0.05
Ammonia,Total Algae (RFU),-0.49,0.67
pH (Nutrients),Total Algae (RFU),0.22,0.02
Temperature (ºF),Total Algae (RFU),-0,0.99
Temperature (ºC),Total Algae (RFU),-0,0.99
pH (mV),Total Algae (RFU),0.41,0
Salinity (PSU),Total Algae (RFU),-0.12,0.22
Conductivity (µS/cm),Total Algae (RFU),-0.06,0.48
"Conductivity, Non-Linear Function (µS/cm)",Total Algae (RFU),-0.5,0
"Conductivity, Specific (µS/cm)",Total Algae (RFU),-0.49,0
Dissolved Oxygen (mg/L),Total Algae (RFU),0.32,0.01
"Dissolved Oxygen, Saturated (%)",Total Algae (RFU),0.09,0.34
"Dissolved Oxygen, Local (%)",Total Algae (RFU),0.27,0.02
Oxygen Reduction Potential (mV),Total Algae (RFU),0.05,0.55
Chlorophyll (RFU),Total Algae (RFU),0.85,0
Turbidity,Total Dissolved Solids (mg/L),-0.01,0.95
Phosphate,Total Dissolved Solids (mg/L),-0.11,0.34
Nitrate MR,Total Dissolved Solids (mg/L),-0.36,0
Nitrate HR,Total Dissolved Solids (mg/L),-0.11,0.37
Alkalinity,Total Dissolved Solids (mg/L),-0.05,0.62
Silica,Total Dissolved Solids (mg/L),0.27,0.03
Iron,Total Dissolved Solids (mg/L),0.15,0.18
Ammonia,Total Dissolved Solids (mg/L),0.47,0.69
pH (Nutrients),Total Dissolved Solids (mg/L),-0.38,0
Temperature (ºF),Total Dissolved Solids (mg/L),0.04,0.73
Temperature (ºC),Total Dissolved Solids (mg/L),0.04,0.72
pH (mV),Total Dissolved Solids (mg/L),-0.41,0
Salinity (PSU),Total Dissolved Solids (mg/L),0.87,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.97,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),0.97,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),0.97,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.26,0.02
"Dissolved Oxygen, Saturated (%)",Total Dissolved Solids (mg/L),-0.06,0.6
"Dissolved Oxygen, Local (%)",Total Dissolved Solids (mg/L),-0.07,0.5
Oxygen Reduction Potential (mV),Total Dissolved Solids (mg/L),-0.23,0.04
Chlorophyll (RFU),Total Dissolved Solids (mg/L),-0.58,0
Total Algae (RFU),Total Dissolved Solids (mg/L),-0.48,0
Turbidity,pH (YSI),0.01,0.87
Phosphate,pH (YSI),-0.27,0
Nitrate MR,pH (YSI),-0.3,0
Nitrate HR,pH (YSI),-0.01,0.88
Alkalinity,pH (YSI),0.07,0.35
Silica,pH (YSI),-0.35,0
Iron,pH (YSI),-0.16,0.03
Ammonia,pH (YSI),0.56,0.62
pH (Nutrients),pH (YSI),0.6,0
Temperature (ºF),pH (YSI),-0.22,0.01
Temperature (ºC),pH (YSI),-0.18,0
pH (mV),pH (YSI),-0.26,0.02
Salinity (PSU),pH (YSI),0.1,0.16
Conductivity (µS/cm),pH (YSI),-0.03,0.67
"Conductivity, Non-Linear Function (µS/cm)",pH (YSI),-0.01,0.92
"Conductivity, Specific (µS/cm)",pH (YSI),-0.01,0.94
Dissolved Oxygen (mg/L),pH (YSI),0.17,0.1
"Dissolved Oxygen, Saturated (%)",pH (YSI),0.31,0
"Dissolved Oxygen, Local (%)",pH (YSI),0.16,0.14
Oxygen Reduction Potential (mV),pH (YSI),0.64,0
Chlorophyll (RFU),pH (YSI),0.02,0.84
Total Algae (RFU),pH (YSI),0.04,0.61
Total Dissolved Solids (mg/L),pH (YSI),-0.05,0.68
