row,column,cor_coeff,p_value
Temperature (ºC),Oxygen Reduction Potential (mV),-0.41,0
pH (mV),Oxygen Reduction Potential (mV),0.35,0
Conductivity (µS/cm),Oxygen Reduction Potential (mV),-0.21,0
"Conductivity, Non-Linear Function (µS/cm)",Oxygen Reduction Potential (mV),-0.27,0.01
"Conductivity, Specific (µS/cm)",Oxygen Reduction Potential (mV),-0.27,0.01
Nitrate MR,Chlorophyll (RFU),0.26,0.03
pH (Nutrients),Chlorophyll (RFU),0.39,0
pH (mV),Chlorophyll (RFU),0.4,0
Salinity (PSU),Chlorophyll (RFU),-0.5,0
Conductivity (µS/cm),Chlorophyll (RFU),-0.5,0
"Conductivity, Non-Linear Function (µS/cm)",Chlorophyll (RFU),-0.56,0
"Conductivity, Specific (µS/cm)",Chlorophyll (RFU),-0.55,0
Dissolved Oxygen (mg/L),Chlorophyll (RFU),0.34,0
"Dissolved Oxygen, Local (%)",Chlorophyll (RFU),0.31,0
Oxygen Reduction Potential (mV),Chlorophyll (RFU),0.32,0
Nitrate MR,Total Algae (RFU),0.25,0
Iron,Total Algae (RFU),-0.18,0.05
pH (Nutrients),Total Algae (RFU),0.22,0.02
pH (mV),Total Algae (RFU),0.41,0
"Conductivity, Non-Linear Function (µS/cm)",Total Algae (RFU),-0.5,0
"Conductivity, Specific (µS/cm)",Total Algae (RFU),-0.49,0
Dissolved Oxygen (mg/L),Total Algae (RFU),0.32,0.01
"Dissolved Oxygen, Local (%)",Total Algae (RFU),0.27,0.02
Chlorophyll (RFU),Total Algae (RFU),0.85,0
Nitrate MR,Total Dissolved Solids (mg/L),-0.36,0
Silica,Total Dissolved Solids (mg/L),0.27,0.03
pH (Nutrients),Total Dissolved Solids (mg/L),-0.38,0
pH (mV),Total Dissolved Solids (mg/L),-0.41,0
Salinity (PSU),Total Dissolved Solids (mg/L),0.87,0
Conductivity (µS/cm),Total Dissolved Solids (mg/L),0.97,0
"Conductivity, Non-Linear Function (µS/cm)",Total Dissolved Solids (mg/L),0.97,0
"Conductivity, Specific (µS/cm)",Total Dissolved Solids (mg/L),0.97,0
Dissolved Oxygen (mg/L),Total Dissolved Solids (mg/L),-0.26,0.02
Oxygen Reduction Potential (mV),Total Dissolved Solids (mg/L),-0.23,0.04
Chlorophyll (RFU),Total Dissolved Solids (mg/L),-0.58,0
Total Algae (RFU),Total Dissolved Solids (mg/L),-0.48,0
Phosphate,pH (YSI),-0.27,0
Nitrate MR,pH (YSI),-0.3,0
Silica,pH (YSI),-0.35,0
Iron,pH (YSI),-0.16,0.03
pH (Nutrients),pH (YSI),0.6,0
Temperature (ºF),pH (YSI),-0.22,0.01
Temperature (ºC),pH (YSI),-0.18,0
pH (mV),pH (YSI),-0.26,0.02
"Dissolved Oxygen, Saturated (%)",pH (YSI),0.31,0
Oxygen Reduction Potential (mV),pH (YSI),0.64,0
